Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-03-24-027-XXVII-NRSITZ-00150	ParlaMint-AT_2022-03-24-027-XXVII-NRSITZ-00150_d8e508	Sitting Number 150, Legislative period XXVII, Thursday, 24. March 2022	2022-03-24	Lower house	Legislative period XXVII	-	-	Sitting 150	-	COVID,War	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2022-03-24-027-XXVII-NRSITZ-00150	ParlaMint-AT_2022-03-24-027-XXVII-NRSITZ-00150_d8e601	Sitting Number 150, Legislative period XXVII, Thursday, 24. March 2022	2022-03-24	Lower house	Legislative period XXVII	-	-	Sitting 150	-	COVID,War	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2022-03-24-027-XXVII-NRSITZ-00150	ParlaMint-AT_2022-03-24-027-XXVII-NRSITZ-00150_d8e842	Sitting Number 150, Legislative period XXVII, Thursday, 24. March 2022	2022-03-24	Lower house	Legislative period XXVII	-	-	Sitting 150	-	COVID,War	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
