Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-02-23-027-XXVII-NRSITZ-00142	ParlaMint-AT_2022-02-23-027-XXVII-NRSITZ-00142_d8e536	Sitting Number 142, Legislative period XXVII, Wednesday, 23. February 2022	2022-02-23	Lower house	Legislative period XXVII	-	-	Sitting 142	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-02-23-027-XXVII-NRSITZ-00142	ParlaMint-AT_2022-02-23-027-XXVII-NRSITZ-00142_d8e607	Sitting Number 142, Legislative period XXVII, Wednesday, 23. February 2022	2022-02-23	Lower house	Legislative period XXVII	-	-	Sitting 142	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-02-23-027-XXVII-NRSITZ-00142	ParlaMint-AT_2022-02-23-027-XXVII-NRSITZ-00142_d8e1283	Sitting Number 142, Legislative period XXVII, Wednesday, 23. February 2022	2022-02-23	Lower house	Legislative period XXVII	-	-	Sitting 142	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
