Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-01-20-027-XXVII-NRSITZ-00140	ParlaMint-AT_2022-01-20-027-XXVII-NRSITZ-00140_d7e350	Sitting Number 140, Legislative period XXVII, Thursday, 20. January 2022	2022-01-20	Lower house	Legislative period XXVII	-	-	Sitting 140	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-01-20-027-XXVII-NRSITZ-00140	ParlaMint-AT_2022-01-20-027-XXVII-NRSITZ-00140_d7e418	Sitting Number 140, Legislative period XXVII, Thursday, 20. January 2022	2022-01-20	Lower house	Legislative period XXVII	-	-	Sitting 140	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-01-20-027-XXVII-NRSITZ-00140	ParlaMint-AT_2022-01-20-027-XXVII-NRSITZ-00140_d7e907	Sitting Number 140, Legislative period XXVII, Thursday, 20. January 2022	2022-01-20	Lower house	Legislative period XXVII	-	-	Sitting 140	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
