Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-10-04-027-XXVII-NRSITZ-00177	ParlaMint-AT_2022-10-04-027-XXVII-NRSITZ-00177_d8e453	Sitting Number 177, Legislative period XXVII, Tuesday, 4. October 2022	2022-10-04	Lower house	Legislative period XXVII	-	-	Sitting 177	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2022-10-04-027-XXVII-NRSITZ-00177	ParlaMint-AT_2022-10-04-027-XXVII-NRSITZ-00177_d8e559	Sitting Number 177, Legislative period XXVII, Tuesday, 4. October 2022	2022-10-04	Lower house	Legislative period XXVII	-	-	Sitting 177	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2022-10-04-027-XXVII-NRSITZ-00177	ParlaMint-AT_2022-10-04-027-XXVII-NRSITZ-00177_d8e622	Sitting Number 177, Legislative period XXVII, Tuesday, 4. October 2022	2022-10-04	Lower house	Legislative period XXVII	-	-	Sitting 177	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2022-10-04-027-XXVII-NRSITZ-00177	ParlaMint-AT_2022-10-04-027-XXVII-NRSITZ-00177_d8e677	Sitting Number 177, Legislative period XXVII, Tuesday, 4. October 2022	2022-10-04	Lower house	Legislative period XXVII	-	-	Sitting 177	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
