Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-02-24-027-XXVII-NRSITZ-00144	ParlaMint-AT_2022-02-24-027-XXVII-NRSITZ-00144_d7e499	Sitting Number 144, Legislative period XXVII, Thursday, 24. February 2022	2022-02-24	Lower house	Legislative period XXVII	-	-	Sitting 144	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-02-24-027-XXVII-NRSITZ-00144	ParlaMint-AT_2022-02-24-027-XXVII-NRSITZ-00144_d7e589	Sitting Number 144, Legislative period XXVII, Thursday, 24. February 2022	2022-02-24	Lower house	Legislative period XXVII	-	-	Sitting 144	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-02-24-027-XXVII-NRSITZ-00144	ParlaMint-AT_2022-02-24-027-XXVII-NRSITZ-00144_d7e1032	Sitting Number 144, Legislative period XXVII, Thursday, 24. February 2022	2022-02-24	Lower house	Legislative period XXVII	-	-	Sitting 144	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
