Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-03-08-027-XXVII-NRSITZ-00146	ParlaMint-AT_2022-03-08-027-XXVII-NRSITZ-00146_d8e381	Sitting Number 146, Legislative period XXVII, Tuesday, 8. March 2022	2022-03-08	Lower house	Legislative period XXVII	-	-	Sitting 146	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2022-03-08-027-XXVII-NRSITZ-00146	ParlaMint-AT_2022-03-08-027-XXVII-NRSITZ-00146_d8e493	Sitting Number 146, Legislative period XXVII, Tuesday, 8. March 2022	2022-03-08	Lower house	Legislative period XXVII	-	-	Sitting 146	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2022-03-08-027-XXVII-NRSITZ-00146	ParlaMint-AT_2022-03-08-027-XXVII-NRSITZ-00146_d8e670	Sitting Number 146, Legislative period XXVII, Tuesday, 8. March 2022	2022-03-08	Lower house	Legislative period XXVII	-	-	Sitting 146	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
