Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-06-23-027-XXVII-NRSITZ-00166	ParlaMint-AT_2022-06-23-027-XXVII-NRSITZ-00166_d8e580	Sitting Number 166, Legislative period XXVII, Thursday, 23. June 2022	2022-06-23	Lower house	Legislative period XXVII	-	-	Sitting 166	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2022-06-23-027-XXVII-NRSITZ-00166	ParlaMint-AT_2022-06-23-027-XXVII-NRSITZ-00166_d8e695	Sitting Number 166, Legislative period XXVII, Thursday, 23. June 2022	2022-06-23	Lower house	Legislative period XXVII	-	-	Sitting 166	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2022-06-23-027-XXVII-NRSITZ-00166	ParlaMint-AT_2022-06-23-027-XXVII-NRSITZ-00166_d8e903	Sitting Number 166, Legislative period XXVII, Thursday, 23. June 2022	2022-06-23	Lower house	Legislative period XXVII	-	-	Sitting 166	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2022-06-23-027-XXVII-NRSITZ-00166	ParlaMint-AT_2022-06-23-027-XXVII-NRSITZ-00166_d8e966	Sitting Number 166, Legislative period XXVII, Thursday, 23. June 2022	2022-06-23	Lower house	Legislative period XXVII	-	-	Sitting 166	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2022-06-23-027-XXVII-NRSITZ-00166	ParlaMint-AT_2022-06-23-027-XXVII-NRSITZ-00166_d8e1081	Sitting Number 166, Legislative period XXVII, Thursday, 23. June 2022	2022-06-23	Lower house	Legislative period XXVII	-	-	Sitting 166	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
