Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-09-21-027-XXVII-NRSITZ-00172	ParlaMint-AT_2022-09-21-027-XXVII-NRSITZ-00172_d8e644	Sitting Number 172, Legislative period XXVII, Wednesday, 21. September 2022	2022-09-21	Lower house	Legislative period XXVII	-	-	Sitting 172	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-09-21-027-XXVII-NRSITZ-00172	ParlaMint-AT_2022-09-21-027-XXVII-NRSITZ-00172_d8e702	Sitting Number 172, Legislative period XXVII, Wednesday, 21. September 2022	2022-09-21	Lower house	Legislative period XXVII	-	-	Sitting 172	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-09-21-027-XXVII-NRSITZ-00172	ParlaMint-AT_2022-09-21-027-XXVII-NRSITZ-00172_d8e1564	Sitting Number 172, Legislative period XXVII, Wednesday, 21. September 2022	2022-09-21	Lower house	Legislative period XXVII	-	-	Sitting 172	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-09-21-027-XXVII-NRSITZ-00172	ParlaMint-AT_2022-09-21-027-XXVII-NRSITZ-00172_d8e1591	Sitting Number 172, Legislative period XXVII, Wednesday, 21. September 2022	2022-09-21	Lower house	Legislative period XXVII	-	-	Sitting 172	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-09-21-027-XXVII-NRSITZ-00172	ParlaMint-AT_2022-09-21-027-XXVII-NRSITZ-00172_d8e1615	Sitting Number 172, Legislative period XXVII, Wednesday, 21. September 2022	2022-09-21	Lower house	Legislative period XXVII	-	-	Sitting 172	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
