Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-06-14-027-XXVII-NRSITZ-00161	ParlaMint-AT_2022-06-14-027-XXVII-NRSITZ-00161_d8e411	Sitting Number 161, Legislative period XXVII, Tuesday, 14. June 2022	2022-06-14	Lower house	Legislative period XXVII	-	-	Sitting 161	-	COVID,War	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2022-06-14-027-XXVII-NRSITZ-00161	ParlaMint-AT_2022-06-14-027-XXVII-NRSITZ-00161_d8e463	Sitting Number 161, Legislative period XXVII, Tuesday, 14. June 2022	2022-06-14	Lower house	Legislative period XXVII	-	-	Sitting 161	-	COVID,War	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2022-06-14-027-XXVII-NRSITZ-00161	ParlaMint-AT_2022-06-14-027-XXVII-NRSITZ-00161_d8e854	Sitting Number 161, Legislative period XXVII, Tuesday, 14. June 2022	2022-06-14	Lower house	Legislative period XXVII	-	-	Sitting 161	-	COVID,War	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
