Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-10-03-027-XXVII-NRSITZ-00175	ParlaMint-AT_2022-10-03-027-XXVII-NRSITZ-00175_d8e368	Sitting Number 175, Legislative period XXVII, Monday, 3. October 2022	2022-10-03	Lower house	Legislative period XXVII	-	-	Sitting 175	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-10-03-027-XXVII-NRSITZ-00175	ParlaMint-AT_2022-10-03-027-XXVII-NRSITZ-00175_d8e483	Sitting Number 175, Legislative period XXVII, Monday, 3. October 2022	2022-10-03	Lower house	Legislative period XXVII	-	-	Sitting 175	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-10-03-027-XXVII-NRSITZ-00175	ParlaMint-AT_2022-10-03-027-XXVII-NRSITZ-00175_d8e598	Sitting Number 175, Legislative period XXVII, Monday, 3. October 2022	2022-10-03	Lower house	Legislative period XXVII	-	-	Sitting 175	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-10-03-027-XXVII-NRSITZ-00175	ParlaMint-AT_2022-10-03-027-XXVII-NRSITZ-00175_d8e623	Sitting Number 175, Legislative period XXVII, Monday, 3. October 2022	2022-10-03	Lower house	Legislative period XXVII	-	-	Sitting 175	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2022-10-03-027-XXVII-NRSITZ-00175	ParlaMint-AT_2022-10-03-027-XXVII-NRSITZ-00175_d8e658	Sitting Number 175, Legislative period XXVII, Monday, 3. October 2022	2022-10-03	Lower house	Legislative period XXVII	-	-	Sitting 175	-	COVID,War	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
