Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2022-05-18-027-XXVII-NRSITZ-00157	ParlaMint-AT_2022-05-18-027-XXVII-NRSITZ-00157_d7e408	Sitting Number 157, Legislative period XXVII, Wednesday, 18. May 2022	2022-05-18	Lower house	Legislative period XXVII	-	-	Sitting 157	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2022-05-18-027-XXVII-NRSITZ-00157	ParlaMint-AT_2022-05-18-027-XXVII-NRSITZ-00157_d7e447	Sitting Number 157, Legislative period XXVII, Wednesday, 18. May 2022	2022-05-18	Lower house	Legislative period XXVII	-	-	Sitting 157	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2022-05-18-027-XXVII-NRSITZ-00157	ParlaMint-AT_2022-05-18-027-XXVII-NRSITZ-00157_d7e954	Sitting Number 157, Legislative period XXVII, Wednesday, 18. May 2022	2022-05-18	Lower house	Legislative period XXVII	-	-	Sitting 157	-	COVID,War	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
