Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2016-12-07-54-commissie-ic548x	ParlaMint-BE_2016-12-07-54-commissie-ic548x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-12-2016	2016-12-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
