Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-09-13-54-commissie-ic487x	ParlaMint-BE_2016-09-13-54-commissie-ic487x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-09-2016	2016-09-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2016-09-13-54-commissie-ic487x	ParlaMint-BE_2016-09-13-54-commissie-ic487x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-09-2016	2016-09-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DumeryDaphné	Dumery, Daphné	F	1974	
ParlaMint-BE-en_2016-09-13-54-commissie-ic487x	ParlaMint-BE_2016-09-13-54-commissie-ic487x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-09-2016	2016-09-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2016-09-13-54-commissie-ic487x	ParlaMint-BE_2016-09-13-54-commissie-ic487x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-09-2016	2016-09-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DumeryDaphné	Dumery, Daphné	F	1974	
ParlaMint-BE-en_2016-09-13-54-commissie-ic487x	ParlaMint-BE_2016-09-13-54-commissie-ic487x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-09-2016	2016-09-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2016-09-13-54-commissie-ic487x	ParlaMint-BE_2016-09-13-54-commissie-ic487x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-09-2016	2016-09-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2016-09-13-54-commissie-ic487x	ParlaMint-BE_2016-09-13-54-commissie-ic487x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-09-2016	2016-09-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2016-09-13-54-commissie-ic487x	ParlaMint-BE_2016-09-13-54-commissie-ic487x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-09-2016	2016-09-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DumeryDaphné	Dumery, Daphné	F	1974	
ParlaMint-BE-en_2016-09-13-54-commissie-ic487x	ParlaMint-BE_2016-09-13-54-commissie-ic487x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-09-2016	2016-09-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2016-09-13-54-commissie-ic487x	ParlaMint-BE_2016-09-13-54-commissie-ic487x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-09-2016	2016-09-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DumeryDaphné	Dumery, Daphné	F	1974	
ParlaMint-BE-en_2016-09-13-54-commissie-ic487x	ParlaMint-BE_2016-09-13-54-commissie-ic487x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-09-2016	2016-09-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DumeryDaphné	Dumery, Daphné	F	1974	
