Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CassartMailleuxCaroline	Cassart-Mailleux, Caroline	F	1973	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CassartMailleuxCaroline	Cassart-Mailleux, Caroline	F	1973	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CassartMailleuxCaroline	Cassart-Mailleux, Caroline	F	1973	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CassartMailleuxCaroline	Cassart-Mailleux, Caroline	F	1973	
ParlaMint-BE-en_2016-04-19-54-commissie-ic386x	ParlaMint-BE_2016-04-19-54-commissie-ic386x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-04-2016	2016-04-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
