Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-10-16-54-plenair-ip131x	ParlaMint-BE_2016-10-16-54-plenair-ip131x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 16-10-2016	2016-10-16	Lower house	Zittingperiode 54	-	Plenaire zitting 131 van 16-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-10-16-54-plenair-ip131x	ParlaMint-BE_2016-10-16-54-plenair-ip131x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 16-10-2016	2016-10-16	Lower house	Zittingperiode 54	-	Plenaire zitting 131 van 16-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-10-16-54-plenair-ip131x	ParlaMint-BE_2016-10-16-54-plenair-ip131x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 16-10-2016	2016-10-16	Lower house	Zittingperiode 54	-	Plenaire zitting 131 van 16-10-2016	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2016-10-16-54-plenair-ip131x	ParlaMint-BE_2016-10-16-54-plenair-ip131x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 16-10-2016	2016-10-16	Lower house	Zittingperiode 54	-	Plenaire zitting 131 van 16-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-10-16-54-plenair-ip131x	ParlaMint-BE_2016-10-16-54-plenair-ip131x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 16-10-2016	2016-10-16	Lower house	Zittingperiode 54	-	Plenaire zitting 131 van 16-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-10-16-54-plenair-ip131x	ParlaMint-BE_2016-10-16-54-plenair-ip131x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 16-10-2016	2016-10-16	Lower house	Zittingperiode 54	-	Plenaire zitting 131 van 16-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-10-16-54-plenair-ip131x	ParlaMint-BE_2016-10-16-54-plenair-ip131x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 16-10-2016	2016-10-16	Lower house	Zittingperiode 54	-	Plenaire zitting 131 van 16-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-10-16-54-plenair-ip131x	ParlaMint-BE_2016-10-16-54-plenair-ip131x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 16-10-2016	2016-10-16	Lower house	Zittingperiode 54	-	Plenaire zitting 131 van 16-10-2016	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2016-10-16-54-plenair-ip131x	ParlaMint-BE_2016-10-16-54-plenair-ip131x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 16-10-2016	2016-10-16	Lower house	Zittingperiode 54	-	Plenaire zitting 131 van 16-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2016-10-16-54-plenair-ip131x	ParlaMint-BE_2016-10-16-54-plenair-ip131x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 16-10-2016	2016-10-16	Lower house	Zittingperiode 54	-	Plenaire zitting 131 van 16-10-2016	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2016-10-16-54-plenair-ip131x	ParlaMint-BE_2016-10-16-54-plenair-ip131x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 16-10-2016	2016-10-16	Lower house	Zittingperiode 54	-	Plenaire zitting 131 van 16-10-2016	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
