Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2015-10-16-prot-201516--15	i-9e0e897577fb97f2-4	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 15	2015-10-16	Unicameralism	2015/16	-	-	2015/16--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2015-10-16-prot-201516--15	i-9e0e897577fb97f2-9	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 15	2015-10-16	Unicameralism	2015/16	-	-	2015/16--15	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5781437	Haddad, Roger	M	-	
ParlaMint-SE-en_2015-10-16-prot-201516--15	i-9e0e897577fb97f2-16	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 15	2015-10-16	Unicameralism	2015/16	-	-	2015/16--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2015-10-16-prot-201516--15	i-9e0e897577fb97f2-18	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 15	2015-10-16	Unicameralism	2015/16	-	-	2015/16--15	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5781437	Haddad, Roger	M	-	
ParlaMint-SE-en_2015-10-16-prot-201516--15	i-9e0e897577fb97f2-24	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 15	2015-10-16	Unicameralism	2015/16	-	-	2015/16--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2015-10-16-prot-201516--15	i-9e0e897577fb97f2-28	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 15	2015-10-16	Unicameralism	2015/16	-	-	2015/16--15	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5781437	Haddad, Roger	M	-	
ParlaMint-SE-en_2015-10-16-prot-201516--15	i-9e0e897577fb97f2-32	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 15	2015-10-16	Unicameralism	2015/16	-	-	2015/16--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
