Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2015-09-15-prot-201516--2	i-SNEkEMuYsXXbkKDqVijmwG	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 2	2015-09-15	Unicameralism	2015/16	-	-	2015/16--2	-	Reference	English	Regular	notMP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3369220	Ahlin, Urban	M	-	
ParlaMint-SE-en_2015-09-15-prot-201516--2	i-a77cfae31b89a135-0	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 2	2015-09-15	Unicameralism	2015/16	-	-	2015/16--2	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2015-09-15-prot-201516--2	i-a77cfae31b89a135-17	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 2	2015-09-15	Unicameralism	2015/16	-	-	2015/16--2	-	Reference	English	Regular	notMP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3369220	Ahlin, Urban	M	-	
ParlaMint-SE-en_2015-09-15-prot-201516--2	i-a77cfae31b89a135-18	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 2	2015-09-15	Unicameralism	2015/16	-	-	2015/16--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2015-09-15-prot-201516--2	i-a77cfae31b89a135-56	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 2	2015-09-15	Unicameralism	2015/16	-	-	2015/16--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2015-09-15-prot-201516--2	i-a77cfae31b89a135-57	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 2	2015-09-15	Unicameralism	2015/16	-	-	2015/16--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2015-09-15-prot-201516--2	i-a77cfae31b89a135-61	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 2	2015-09-15	Unicameralism	2015/16	-	-	2015/16--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2015-09-15-prot-201516--2	i-a77cfae31b89a135-64	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 2	2015-09-15	Unicameralism	2015/16	-	-	2015/16--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2015-09-15-prot-201516--2	i-a77cfae31b89a135-75	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 2	2015-09-15	Unicameralism	2015/16	-	-	2015/16--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2015-09-15-prot-201516--2	i-a77cfae31b89a135-85	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 2	2015-09-15	Unicameralism	2015/16	-	-	2015/16--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
ParlaMint-SE-en_2015-09-15-prot-201516--2	i-a77cfae31b89a135-95	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 2	2015-09-15	Unicameralism	2015/16	-	-	2015/16--2	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q2740012	Löfven, Stefan	M	-	
