Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-4	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5807932	Hjälmered, Lars	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-22	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5887149	Johansson, Mattias Bäckström	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-34	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6015398	Nordin, Rickard	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-49	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5887149	Johansson, Mattias Bäckström	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-54	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6015398	Nordin, Rickard	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-58	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5887149	Johansson, Mattias Bäckström	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-60	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6015398	Nordin, Rickard	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-63	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243576	Lahti, Birger	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-74	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5807932	Hjälmered, Lars	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-78	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243576	Lahti, Birger	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-83	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5807932	Hjälmered, Lars	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-88	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243576	Lahti, Birger	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-92	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q18747077	Eliasson, Bengt	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-100	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4951444	Gunther, Penilla	F	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-109	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q269859	Westlund, Åsa	F	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-126	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5807932	Hjälmered, Lars	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-128	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q269859	Westlund, Åsa	F	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-132	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5807932	Hjälmered, Lars	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-136	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q269859	Westlund, Åsa	F	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-138	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4970036	Nordin, Lise	F	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-4ZyovYMhkskLpGq3mLNrHE	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	S;SD	Socialdemokraterna;Sverigedemokraterna	Coalition	Centre-left;Right to far-right	Q6241274	Wiklander, Tony	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-164	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5938586	Larsson, Rikard	M	-	
ParlaMint-SE-en_2015-10-21-prot-201516--17	i-5e3bd0fc8115d6d4-176	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 17	2015-10-21	Unicameralism	2015/16	-	-	2015/16--17	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18335045	Wallrup, Emma	F	-	
