Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2019-10-01-tbmm-T27	tbmm-2019-10-01sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 3, Session 1	2019-10-01	Unicameralism	27	3	1	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mustafa.Şentop	Şentop, Mustafa	M	1968	
ParlaMint-TR-en_2019-10-01-tbmm-T27	tbmm-2019-10-01sit01spe0002par0027	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 3, Session 1	2019-10-01	Unicameralism	27	3	1	-	-	Reference	English	Regular	notMP	notMinister	AKP	Justice and Development Party	Coalition	Right	RecepTayyip.Erdoğan	Erdoğan, Recep Tayyip	M	1954	
ParlaMint-TR-en_2019-10-01-tbmm-T27	tbmm-2019-10-01sit01spe0003par0108	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 3, Session 1	2019-10-01	Unicameralism	27	3	1	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	Garo.Paylan	Paylan, Garo	M	1972	
ParlaMint-TR-en_2019-10-01-tbmm-T27	tbmm-2019-10-01sit01spe0002par0109	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 3, Session 1	2019-10-01	Unicameralism	27	3	1	-	-	Reference	English	Regular	notMP	notMinister	AKP	Justice and Development Party	Coalition	Right	RecepTayyip.Erdoğan	Erdoğan, Recep Tayyip	M	1954	
ParlaMint-TR-en_2019-10-01-tbmm-T27	tbmm-2019-10-01sit01spe0004par0135	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 3, Session 1	2019-10-01	Unicameralism	27	3	1	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mustafa.Şentop	Şentop, Mustafa	M	1968	
