Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2012-04-25-SDZ6-Izredna-12	ParlaMint-SI_2012-04-25-SDZ6-Izredna-12.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 12, (25. 04. 2012)	2012-04-25	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DL	Civic List	Coalition	Centre to centre-right	VirantGregor	Virant, Gregor	M	1969	
ParlaMint-SI-en_2012-04-25-SDZ6-Izredna-12	ParlaMint-SI_2012-04-25-SDZ6-Izredna-12.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 12, (25. 04. 2012)	2012-04-25	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	PS	Positive Slovenia	Opposition	Centre to centre-left	MöderndorferJankoJani	Möderndorfer, Jani	M	1965	
ParlaMint-SI-en_2012-04-25-SDZ6-Izredna-12	ParlaMint-SI_2012-04-25-SDZ6-Izredna-12.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 12, (25. 04. 2012)	2012-04-25	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DL	Civic List	Coalition	Centre to centre-right	VirantGregor	Virant, Gregor	M	1969	
