Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Chairperson	MP	notMinister	Misto	Misto	-	-	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Regular	MP	notMinister	Misto	Misto	-	-	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Chairperson	MP	notMinister	Misto	Misto	-	-	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Regular	MP	notMinister	Misto	Misto	-	-	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Chairperson	MP	notMinister	Misto	Misto	-	-	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Chairperson	MP	notMinister	Misto	Misto	-	-	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Chairperson	MP	notMinister	Misto	Misto	-	-	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Chairperson	MP	notMinister	Misto	Misto	-	-	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Chairperson	MP	notMinister	Misto	Misto	-	-	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Chairperson	MP	notMinister	Misto	Misto	-	-	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Chairperson	MP	notMinister	Misto	Misto	-	-	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Regular	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	MalanLucio	Malan, Lucio	M	1960	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Chairperson	MP	notMinister	Misto	Misto	-	-	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Regular	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	MalanLucio	Malan, Lucio	M	1960	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	CiampolilloLello	Ciampolillo, Lello	M	1972	
ParlaMint-IT-en_2018-01-09-LEG17-Senato-sed-923	ParlaMint-IT_2018-01-09-LEG17-Senato-sed-923.ana.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 923, Day (2018-01-09)	2018-01-09	Upper house	17 Legislatura	-	-	923 Seduta	-	Reference	English	Chairperson	MP	notMinister	Misto	Misto	-	-	GrassoPietro	Grasso, Pietro	M	1945	
