Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-07-04-54-commissie-ic700x	ParlaMint-BE_2017-07-04-54-commissie-ic700x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 04-07-2017	2017-07-04	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanHoofEls	Van Hoof, Els	F	1969	
ParlaMint-BE-en_2017-07-04-54-commissie-ic700x	ParlaMint-BE_2017-07-04-54-commissie-ic700x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 04-07-2017	2017-07-04	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanHoofEls	Van Hoof, Els	F	1969	
ParlaMint-BE-en_2017-07-04-54-commissie-ic700x	ParlaMint-BE_2017-07-04-54-commissie-ic700x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 04-07-2017	2017-07-04	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2017-07-04-54-commissie-ic700x	ParlaMint-BE_2017-07-04-54-commissie-ic700x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 04-07-2017	2017-07-04	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanHoofEls	Van Hoof, Els	F	1969	
ParlaMint-BE-en_2017-07-04-54-commissie-ic700x	ParlaMint-BE_2017-07-04-54-commissie-ic700x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 04-07-2017	2017-07-04	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanHoofEls	Van Hoof, Els	F	1969	
ParlaMint-BE-en_2017-07-04-54-commissie-ic700x	ParlaMint-BE_2017-07-04-54-commissie-ic700x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 04-07-2017	2017-07-04	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VanderDoncktWim	Van der Donckt, Wim	M	1965	
ParlaMint-BE-en_2017-07-04-54-commissie-ic700x	ParlaMint-BE_2017-07-04-54-commissie-ic700x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 04-07-2017	2017-07-04	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2017-07-04-54-commissie-ic700x	ParlaMint-BE_2017-07-04-54-commissie-ic700x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 04-07-2017	2017-07-04	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VanderDoncktWim	Van der Donckt, Wim	M	1965	
ParlaMint-BE-en_2017-07-04-54-commissie-ic700x	ParlaMint-BE_2017-07-04-54-commissie-ic700x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 04-07-2017	2017-07-04	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanHoofEls	Van Hoof, Els	F	1969	
ParlaMint-BE-en_2017-07-04-54-commissie-ic700x	ParlaMint-BE_2017-07-04-54-commissie-ic700x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 04-07-2017	2017-07-04	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanHoofEls	Van Hoof, Els	F	1969	
ParlaMint-BE-en_2017-07-04-54-commissie-ic700x	ParlaMint-BE_2017-07-04-54-commissie-ic700x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 04-07-2017	2017-07-04	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
