Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-12-19-54-commissie-ic785x	ParlaMint-BE_2017-12-19-54-commissie-ic785x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-12-2017	2017-12-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	FDF	Fédéralistes Démocrates Francophones	Opposition	Centre to centre-right	CaprasseVéronique	Caprasse, Véronique	F	1951	
ParlaMint-BE-en_2017-12-19-54-commissie-ic785x	ParlaMint-BE_2017-12-19-54-commissie-ic785x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-12-2017	2017-12-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VandeputSteven	Vandeput, Steven	M	1967	
ParlaMint-BE-en_2017-12-19-54-commissie-ic785x	ParlaMint-BE_2017-12-19-54-commissie-ic785x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-12-2017	2017-12-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	FDF	Fédéralistes Démocrates Francophones	Opposition	Centre to centre-right	CaprasseVéronique	Caprasse, Véronique	F	1951	
ParlaMint-BE-en_2017-12-19-54-commissie-ic785x	ParlaMint-BE_2017-12-19-54-commissie-ic785x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-12-2017	2017-12-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2017-12-19-54-commissie-ic785x	ParlaMint-BE_2017-12-19-54-commissie-ic785x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-12-2017	2017-12-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2017-12-19-54-commissie-ic785x	ParlaMint-BE_2017-12-19-54-commissie-ic785x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-12-2017	2017-12-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VandeputSteven	Vandeput, Steven	M	1967	
ParlaMint-BE-en_2017-12-19-54-commissie-ic785x	ParlaMint-BE_2017-12-19-54-commissie-ic785x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-12-2017	2017-12-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2017-12-19-54-commissie-ic785x	ParlaMint-BE_2017-12-19-54-commissie-ic785x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-12-2017	2017-12-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VandeputSteven	Vandeput, Steven	M	1967	
ParlaMint-BE-en_2017-12-19-54-commissie-ic785x	ParlaMint-BE_2017-12-19-54-commissie-ic785x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-12-2017	2017-12-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2017-12-19-54-commissie-ic785x	ParlaMint-BE_2017-12-19-54-commissie-ic785x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-12-2017	2017-12-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
