Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-08-17-54-commissie-ic721x	ParlaMint-BE_2017-08-17-54-commissie-ic721x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-08-2017	2017-08-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2017-08-17-54-commissie-ic721x	ParlaMint-BE_2017-08-17-54-commissie-ic721x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-08-2017	2017-08-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2017-08-17-54-commissie-ic721x	ParlaMint-BE_2017-08-17-54-commissie-ic721x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-08-2017	2017-08-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2017-08-17-54-commissie-ic721x	ParlaMint-BE_2017-08-17-54-commissie-ic721x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-08-2017	2017-08-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeBlockMaggie	De Block, Maggie	F	1962	
ParlaMint-BE-en_2017-08-17-54-commissie-ic721x	ParlaMint-BE_2017-08-17-54-commissie-ic721x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-08-2017	2017-08-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	DiricksHerman	Diricks, Herman	U	-	
ParlaMint-BE-en_2017-08-17-54-commissie-ic721x	ParlaMint-BE_2017-08-17-54-commissie-ic721x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-08-2017	2017-08-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	DiricksHerman	Diricks, Herman	U	-	
ParlaMint-BE-en_2017-08-17-54-commissie-ic721x	ParlaMint-BE_2017-08-17-54-commissie-ic721x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-08-2017	2017-08-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2017-08-17-54-commissie-ic721x	ParlaMint-BE_2017-08-17-54-commissie-ic721x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-08-2017	2017-08-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeBlockMaggie	De Block, Maggie	F	1962	
ParlaMint-BE-en_2017-08-17-54-commissie-ic721x	ParlaMint-BE_2017-08-17-54-commissie-ic721x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-08-2017	2017-08-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2017-08-17-54-commissie-ic721x	ParlaMint-BE_2017-08-17-54-commissie-ic721x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-08-2017	2017-08-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	GantoisRita	Gantois, Rita	F	1958	
ParlaMint-BE-en_2017-08-17-54-commissie-ic721x	ParlaMint-BE_2017-08-17-54-commissie-ic721x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-08-2017	2017-08-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
