Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PeetersKris	Peeters, Kris	M	1962	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DaerdenFrédéric	Daerden, Frédéric	M	1970	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VercamerStefaan	Vercamer, Stefaan	M	1961	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PeetersKris	Peeters, Kris	M	1962	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2017-10-17-54-commissie-ic747x	ParlaMint-BE_2017-10-17-54-commissie-ic747x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-10-2017	2017-10-17	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
