Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-05-23-54-commissie-ic671x	ParlaMint-BE_2017-05-23-54-commissie-ic671x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-05-2017	2017-05-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2017-05-23-54-commissie-ic671x	ParlaMint-BE_2017-05-23-54-commissie-ic671x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-05-2017	2017-05-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	Minister	MR	Mouvement Réformateur	Coalition	Centre-right	ReyndersDidier	Reynders, Didier	M	1958	
ParlaMint-BE-en_2017-05-23-54-commissie-ic671x	ParlaMint-BE_2017-05-23-54-commissie-ic671x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-05-2017	2017-05-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2017-05-23-54-commissie-ic671x	ParlaMint-BE_2017-05-23-54-commissie-ic671x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-05-2017	2017-05-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2017-05-23-54-commissie-ic671x	ParlaMint-BE_2017-05-23-54-commissie-ic671x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-05-2017	2017-05-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	Minister	MR	Mouvement Réformateur	Coalition	Centre-right	ReyndersDidier	Reynders, Didier	M	1958	
ParlaMint-BE-en_2017-05-23-54-commissie-ic671x	ParlaMint-BE_2017-05-23-54-commissie-ic671x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-05-2017	2017-05-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2017-05-23-54-commissie-ic671x	ParlaMint-BE_2017-05-23-54-commissie-ic671x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-05-2017	2017-05-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	Minister	MR	Mouvement Réformateur	Coalition	Centre-right	ReyndersDidier	Reynders, Didier	M	1958	
ParlaMint-BE-en_2017-05-23-54-commissie-ic671x	ParlaMint-BE_2017-05-23-54-commissie-ic671x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-05-2017	2017-05-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2017-05-23-54-commissie-ic671x	ParlaMint-BE_2017-05-23-54-commissie-ic671x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-05-2017	2017-05-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GerkensMuriel	Gerkens, Muriel	F	1957	
ParlaMint-BE-en_2017-05-23-54-commissie-ic671x	ParlaMint-BE_2017-05-23-54-commissie-ic671x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-05-2017	2017-05-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	WinckelFabienne	Winckel, Fabienne	F	1975	
ParlaMint-BE-en_2017-05-23-54-commissie-ic671x	ParlaMint-BE_2017-05-23-54-commissie-ic671x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-05-2017	2017-05-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	Minister	MR	Mouvement Réformateur	Coalition	Centre-right	ReyndersDidier	Reynders, Didier	M	1958	
