Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TemmermanKarin	Temmerman, Karin	F	1958	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TemmermanKarin	Temmerman, Karin	F	1958	
ParlaMint-BE-en_2017-01-18-54-commissie-ic567x	ParlaMint-BE_2017-01-18-54-commissie-ic567x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-01-2017	2017-01-18	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
