Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U1	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U2	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U3	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U4	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	j_allik_19461008	Allik, Jaak	M	1946	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U5	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U6	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U7	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	a_riisalu_19610313	Riisalu, Aivar	M	1961	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U8	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U9	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	t_kõiv_19701029	Kõiv, Tõnis	M	1970	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U10	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	a_riisalu_19610313	Riisalu, Aivar	M	1961	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U11	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U12	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	v_linde_19590131	Linde, Väino	M	1959	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U13	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	a_riisalu_19610313	Riisalu, Aivar	M	1961	
ParlaMint-EE-en_2012-01-10	ParlaMint-EE_2012-01-10_U14	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 10.01.2012, 10:00	2012-01-10	Unicameralism	XII Riigikogu	III regular session	-	2012-01-10	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
