Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U1	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U2	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	k_lember_19760916	Lember, Kajar	M	1976	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U3	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U4	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	d_boroditš_19791101	Boroditš, Deniss	M	1979	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U5	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U6	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	t_tamm_19531203	Tamm, Tarmo	M	1953	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U7	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U8	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U9	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	v_linde_19590131	Linde, Väino	M	1959	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U10	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U11	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	p_aru_19530420	Aru, Peep	M	1953	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U12	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	v_linde_19590131	Linde, Väino	M	1959	
ParlaMint-EE-en_2012-03-13	ParlaMint-EE_2012-03-13_U13	XII Parliament term, III Session, Plenary Assembly regular meeting on Tuesday, 13.03.2012, 10:00	2012-03-13	Unicameralism	XII Riigikogu	III regular session	-	2012-03-13	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
