Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2015-12-18-0	ParlaMint-RS_2015-12-18-0.u43740	Term 10, Meeting 9	2015-12-18	Unicameralism	10. mandat	-	Zasedanje 9	2015-12-18	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	RadenkovićDejan	Radenković, Dejan	M	1971	
ParlaMint-RS-en_2015-12-18-0	ParlaMint-RS_2015-12-18-0.u43741	Term 10, Meeting 9	2015-12-18	Unicameralism	10. mandat	-	Zasedanje 9	2015-12-18	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2015-12-18-0	ParlaMint-RS_2015-12-18-0.u43742	Term 10, Meeting 9	2015-12-18	Unicameralism	10. mandat	-	Zasedanje 9	2015-12-18	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	RadenkovićDejan	Radenković, Dejan	M	1971	
ParlaMint-RS-en_2015-12-18-0	ParlaMint-RS_2015-12-18-0.u43743	Term 10, Meeting 9	2015-12-18	Unicameralism	10. mandat	-	Zasedanje 9	2015-12-18	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2015-12-18-0	ParlaMint-RS_2015-12-18-0.u43744	Term 10, Meeting 9	2015-12-18	Unicameralism	10. mandat	-	Zasedanje 9	2015-12-18	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	RadenkovićDejan	Radenković, Dejan	M	1971	
ParlaMint-RS-en_2015-12-18-0	ParlaMint-RS_2015-12-18-0.u43745	Term 10, Meeting 9	2015-12-18	Unicameralism	10. mandat	-	Zasedanje 9	2015-12-18	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2015-12-18-0	ParlaMint-RS_2015-12-18-0.u43746	Term 10, Meeting 9	2015-12-18	Unicameralism	10. mandat	-	Zasedanje 9	2015-12-18	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	RadenkovićDejan	Radenković, Dejan	M	1971	
ParlaMint-RS-en_2015-12-18-0	ParlaMint-RS_2015-12-18-0.u43747	Term 10, Meeting 9	2015-12-18	Unicameralism	10. mandat	-	Zasedanje 9	2015-12-18	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2015-12-18-0	ParlaMint-RS_2015-12-18-0.u43748	Term 10, Meeting 9	2015-12-18	Unicameralism	10. mandat	-	Zasedanje 9	2015-12-18	-	Reference	English	Regular	MP	notMinister	SDS	Socijaldemokratska stranka	Coalition	Centre-left	ĐurišićMarko	Đurišić, Marko	M	1968	
ParlaMint-RS-en_2015-12-18-0	ParlaMint-RS_2015-12-18-0.u43749	Term 10, Meeting 9	2015-12-18	Unicameralism	10. mandat	-	Zasedanje 9	2015-12-18	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
