Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2015-12-29-0	ParlaMint-RS_2015-12-29-0.u46271	Term 10, Meeting 10	2015-12-29	Unicameralism	10. mandat	-	Zasedanje 10	2015-12-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2015-12-29-0	ParlaMint-RS_2015-12-29-0.u46272	Term 10, Meeting 10	2015-12-29	Unicameralism	10. mandat	-	Zasedanje 10	2015-12-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2015-12-29-0	ParlaMint-RS_2015-12-29-0.u46273	Term 10, Meeting 10	2015-12-29	Unicameralism	10. mandat	-	Zasedanje 10	2015-12-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2015-12-29-0	ParlaMint-RS_2015-12-29-0.u46274	Term 10, Meeting 10	2015-12-29	Unicameralism	10. mandat	-	Zasedanje 10	2015-12-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2015-12-29-0	ParlaMint-RS_2015-12-29-0.u46275	Term 10, Meeting 10	2015-12-29	Unicameralism	10. mandat	-	Zasedanje 10	2015-12-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2015-12-29-0	ParlaMint-RS_2015-12-29-0.u46276	Term 10, Meeting 10	2015-12-29	Unicameralism	10. mandat	-	Zasedanje 10	2015-12-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2015-12-29-0	ParlaMint-RS_2015-12-29-0.u46277	Term 10, Meeting 10	2015-12-29	Unicameralism	10. mandat	-	Zasedanje 10	2015-12-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
