Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2017-11-21	ParlaMint-BG_2017-11-21.u1	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 2, Meeting 3 (2017-11-21)	2017-11-21	Unicameralism	Четиридесет и четвърто народно събрание	2 парламентарна сесия	3 извънредно пленарно заседание	2017-11-21	-	Reference	English	Chairperson	MP	notMinister	UP	Parliamentary Group: United Patriots	Coalition	Right to far-right	NotevYavor	Notev, Yavor Bozhilov	M	1957	
ParlaMint-BG-en_2017-11-21	ParlaMint-BG_2017-11-21.u2	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 2, Meeting 3 (2017-11-21)	2017-11-21	Unicameralism	Четиридесет и четвърто народно събрание	2 парламентарна сесия	3 извънредно пленарно заседание	2017-11-21	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2017-11-21	ParlaMint-BG_2017-11-21.u3	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 2, Meeting 3 (2017-11-21)	2017-11-21	Unicameralism	Четиридесет и четвърто народно събрание	2 парламентарна сесия	3 извънредно пленарно заседание	2017-11-21	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TajaniAntonio	Tajani, Antonio	M	1953	
ParlaMint-BG-en_2017-11-21	ParlaMint-BG_2017-11-21.u4	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 2, Meeting 3 (2017-11-21)	2017-11-21	Unicameralism	Четиридесет и четвърто народно събрание	2 парламентарна сесия	3 извънредно пленарно заседание	2017-11-21	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2017-11-21	ParlaMint-BG_2017-11-21.u5	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 2, Meeting 3 (2017-11-21)	2017-11-21	Unicameralism	Четиридесет и четвърто народно събрание	2 парламентарна сесия	3 извънредно пленарно заседание	2017-11-21	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TajaniAntonio	Tajani, Antonio	M	1953	
ParlaMint-BG-en_2017-11-21	ParlaMint-BG_2017-11-21.u6	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 2, Meeting 3 (2017-11-21)	2017-11-21	Unicameralism	Четиридесет и четвърто народно събрание	2 парламентарна сесия	3 извънредно пленарно заседание	2017-11-21	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
