Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2022-01-27-S1-commons	ParlaMint-GR_2022-01-27-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 59, 2022-01-27	2022-01-27	Unicameralism	18	3	-	59	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2022-01-27-S1-commons	ParlaMint-GR_2022-01-27-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 59, 2022-01-27	2022-01-27	Unicameralism	18	3	-	59	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2022-01-27-S1-commons	ParlaMint-GR_2022-01-27-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 59, 2022-01-27	2022-01-27	Unicameralism	18	3	-	59	-	COVID	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Opposition	Centre-left to left	ΤΣΙΠΡΑΣ_ΠΑΥΛΟΥ_ΑΛΕΞΙΟΣ	Tsipras, Alexios	M	-	
ParlaMint-GR-en_2022-01-27-S1-commons	ParlaMint-GR_2022-01-27-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 59, 2022-01-27	2022-01-27	Unicameralism	18	3	-	59	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2022-01-27-S1-commons	ParlaMint-GR_2022-01-27-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 59, 2022-01-27	2022-01-27	Unicameralism	18	3	-	59	-	COVID	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Opposition	Centre-left to left	ΤΣΙΠΡΑΣ_ΠΑΥΛΟΥ_ΑΛΕΞΙΟΣ	Tsipras, Alexios	M	-	
ParlaMint-GR-en_2022-01-27-S1-commons	ParlaMint-GR_2022-01-27-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 59, 2022-01-27	2022-01-27	Unicameralism	18	3	-	59	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2022-01-27-S1-commons	ParlaMint-GR_2022-01-27-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 59, 2022-01-27	2022-01-27	Unicameralism	18	3	-	59	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2022-01-27-S1-commons	ParlaMint-GR_2022-01-27-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 59, 2022-01-27	2022-01-27	Unicameralism	18	3	-	59	-	COVID	English	Regular	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΓΕΩΡΓΙΑΔΗΣ_ΑΘΑΝΑΣΙΟΥ_ΣΠΥΡΙΔΩΝ-ΑΔΩΝΙΣ	Geōrgiadīs, Spyridōn Adōnis	M	-	
ParlaMint-GR-en_2022-01-27-S1-commons	ParlaMint-GR_2022-01-27-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 59, 2022-01-27	2022-01-27	Unicameralism	18	3	-	59	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
