Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2019-06-20-127	ParlaMint-IS_2019-06-20-127.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-127, 20.06.2019.	2019-06-20	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	LiljaAlfredsdottir	Alfreðsdóttir, Lilja	F	1973	
ParlaMint-IS-en_2019-06-20-127	ParlaMint-IS_2019-06-20-127.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-127, 20.06.2019.	2019-06-20	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorgerdurGunnarsdottir	Gunnarsdóttir, Þorgerður K.	F	1965	
ParlaMint-IS-en_2019-06-20-127	ParlaMint-IS_2019-06-20-127.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-127, 20.06.2019.	2019-06-20	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	GudmundurThorsson	Thorsson, Guðmundur Andri	M	1957	
ParlaMint-IS-en_2019-06-20-127	ParlaMint-IS_2019-06-20-127.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-127, 20.06.2019.	2019-06-20	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	HannaFridriksson	Friðriksson, Hanna Katrín	F	1964	
ParlaMint-IS-en_2019-06-20-127	ParlaMint-IS_2019-06-20-127.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-127, 20.06.2019.	2019-06-20	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	IngaSaeland	Sæland, Inga	F	1959	
ParlaMint-IS-en_2019-06-20-127	ParlaMint-IS_2019-06-20-127.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-127, 20.06.2019.	2019-06-20	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
