Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2005-12-08-0	ParlaMint-RS_2005-12-08-0.u23738	Term 6, Meeting 7	2005-12-08	Unicameralism	6. mandat	-	Zasedanje 7	2005-12-08	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-RS-en_2005-12-08-0	ParlaMint-RS_2005-12-08-0.u23739	Term 6, Meeting 7	2005-12-08	Unicameralism	6. mandat	-	Zasedanje 7	2005-12-08	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2005-12-08-0	ParlaMint-RS_2005-12-08-0.u23740	Term 6, Meeting 7	2005-12-08	Unicameralism	6. mandat	-	Zasedanje 7	2005-12-08	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2005-12-08-0	ParlaMint-RS_2005-12-08-0.u23742	Term 6, Meeting 7	2005-12-08	Unicameralism	6. mandat	-	Zasedanje 7	2005-12-08	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DinkićMlađan	Dinkić, Mlađan	M	1964	
ParlaMint-RS-en_2005-12-08-0	ParlaMint-RS_2005-12-08-0.u23743	Term 6, Meeting 7	2005-12-08	Unicameralism	6. mandat	-	Zasedanje 7	2005-12-08	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2005-12-08-0	ParlaMint-RS_2005-12-08-0.u23744	Term 6, Meeting 7	2005-12-08	Unicameralism	6. mandat	-	Zasedanje 7	2005-12-08	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	TodorovićJovan	Todorović, Jovan	M	1953	
ParlaMint-RS-en_2005-12-08-0	ParlaMint-RS_2005-12-08-0.u23745	Term 6, Meeting 7	2005-12-08	Unicameralism	6. mandat	-	Zasedanje 7	2005-12-08	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2005-12-08-0	ParlaMint-RS_2005-12-08-0.u23746	Term 6, Meeting 7	2005-12-08	Unicameralism	6. mandat	-	Zasedanje 7	2005-12-08	-	Reference	English	Regular	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	UroševićSava	Urošević, Sava	M	1952	
ParlaMint-RS-en_2005-12-08-0	ParlaMint-RS_2005-12-08-0.u23747	Term 6, Meeting 7	2005-12-08	Unicameralism	6. mandat	-	Zasedanje 7	2005-12-08	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2005-12-08-0	ParlaMint-RS_2005-12-08-0.u23748	Term 6, Meeting 7	2005-12-08	Unicameralism	6. mandat	-	Zasedanje 7	2005-12-08	-	Reference	English	Regular	MP	notMinister	NS	Nova Srbija	Coalition	Right	BelićMilorad	Belić, Milorad	M	1954	
ParlaMint-RS-en_2005-12-08-0	ParlaMint-RS_2005-12-08-0.u23749	Term 6, Meeting 7	2005-12-08	Unicameralism	6. mandat	-	Zasedanje 7	2005-12-08	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
