Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14674	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14675	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	AntićZoran	Antić, Zoran	M	1962	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14676	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14677	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	JankovićBranislav	Janković, Branislav	M	1956	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14678	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14679	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	JankovićBranislav	Janković, Branislav	M	1956	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14680	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14681	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	VukovićMilivoje	Vuković, Milivoje	M	1953	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14682	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14683	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	KrasićZoran	Krasić, Zoran	M	1956	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14684	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14685	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	CvetanovićGoran	Cvetanović, Goran	M	1965	
ParlaMint-RS-en_2005-04-26-0	ParlaMint-RS_2005-04-26-0.u14686	Term 6, Meeting 3	2005-04-26	Unicameralism	6. mandat	-	Zasedanje 3	2006-04-20	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
