Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e18	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e22	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e25	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e30	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e33	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.RE	Eriksson, Robert	M	1974	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e40	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e53	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e129	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e132	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e137	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e146	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
