Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-09-04-20191-M144	ParlaMint-DK_20200904130005	Hansard of the session of the Danish Parliament (Folketinget), 20191, M144 (2020-09-04), preliminary version	2020-09-04	Unicameralism	Regeringen Mette Frederiksen	20191	M144	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	EllemannKaren	Ellemann, Karen	F	1969	
ParlaMint-DK-en_2020-09-04-20191-M144	ParlaMint-DK_20200904130010	Hansard of the session of the Danish Parliament (Folketinget), 20191, M144 (2020-09-04), preliminary version	2020-09-04	Unicameralism	Regeringen Mette Frederiksen	20191	M144	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	EllemannKaren	Ellemann, Karen	F	1969	
ParlaMint-DK-en_2020-09-04-20191-M144	ParlaMint-DK_20200904130036	Hansard of the session of the Danish Parliament (Folketinget), 20191, M144 (2020-09-04), preliminary version	2020-09-04	Unicameralism	Regeringen Mette Frederiksen	20191	M144	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	EllemannKaren	Ellemann, Karen	F	1969	
