Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-04-14-20191-M92	ParlaMint-DK_20200414130003	Hansard of the session of the Danish Parliament (Folketinget), 20191, M92 (2020-04-14), final version	2020-04-14	Unicameralism	Regeringen Mette Frederiksen	20191	M92	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	EllemannKaren	Ellemann, Karen	F	1969	
ParlaMint-DK-en_2020-04-14-20191-M92	ParlaMint-DK_20200414130015	Hansard of the session of the Danish Parliament (Folketinget), 20191, M92 (2020-04-14), final version	2020-04-14	Unicameralism	Regeringen Mette Frederiksen	20191	M92	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	EllemannKaren	Ellemann, Karen	F	1969	
ParlaMint-DK-en_2020-04-14-20191-M92	ParlaMint-DK_20200414130031	Hansard of the session of the Danish Parliament (Folketinget), 20191, M92 (2020-04-14), final version	2020-04-14	Unicameralism	Regeringen Mette Frederiksen	20191	M92	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	EllemannKaren	Ellemann, Karen	F	1969	
