Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-05-20-20191-M114	ParlaMint-DK_20200520100119	Hansard of the session of the Danish Parliament (Folketinget), 20191, M114 (2020-05-20), preliminary version	2020-05-20	Unicameralism	Regeringen Mette Frederiksen	20191	M114	-	-	COVID	English	Chairperson	MP	notMinister	EL	Enhedslisten	-	Left to far-left	JuhlChristian	Juhl, Christian	M	1953	
ParlaMint-DK-en_2020-05-20-20191-M114	ParlaMint-DK_20200520100226	Hansard of the session of the Danish Parliament (Folketinget), 20191, M114 (2020-05-20), preliminary version	2020-05-20	Unicameralism	Regeringen Mette Frederiksen	20191	M114	-	-	COVID	English	Chairperson	MP	notMinister	EL	Enhedslisten	-	Left to far-left	JuhlChristian	Juhl, Christian	M	1953	
ParlaMint-DK-en_2020-05-20-20191-M114	ParlaMint-DK_20200520100240	Hansard of the session of the Danish Parliament (Folketinget), 20191, M114 (2020-05-20), preliminary version	2020-05-20	Unicameralism	Regeringen Mette Frederiksen	20191	M114	-	-	COVID	English	Chairperson	MP	notMinister	EL	Enhedslisten	-	Left to far-left	JuhlChristian	Juhl, Christian	M	1953	
ParlaMint-DK-en_2020-05-20-20191-M114	ParlaMint-DK_20200520100319	Hansard of the session of the Danish Parliament (Folketinget), 20191, M114 (2020-05-20), preliminary version	2020-05-20	Unicameralism	Regeringen Mette Frederiksen	20191	M114	-	-	COVID	English	Chairperson	MP	notMinister	EL	Enhedslisten	-	Left to far-left	JuhlChristian	Juhl, Christian	M	1953	
