Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-06-04-20191-M122	ParlaMint-DK_20200604100013	Hansard of the session of the Danish Parliament (Folketinget), 20191, M122 (2020-06-04), final version	2020-06-04	Unicameralism	Regeringen Mette Frederiksen	20191	M122	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-06-04-20191-M122	ParlaMint-DK_20200604100048	Hansard of the session of the Danish Parliament (Folketinget), 20191, M122 (2020-06-04), final version	2020-06-04	Unicameralism	Regeringen Mette Frederiksen	20191	M122	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-06-04-20191-M122	ParlaMint-DK_20200604100104	Hansard of the session of the Danish Parliament (Folketinget), 20191, M122 (2020-06-04), final version	2020-06-04	Unicameralism	Regeringen Mette Frederiksen	20191	M122	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-06-04-20191-M122	ParlaMint-DK_20200604100118	Hansard of the session of the Danish Parliament (Folketinget), 20191, M122 (2020-06-04), final version	2020-06-04	Unicameralism	Regeringen Mette Frederiksen	20191	M122	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
