Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-12-15-20201-M36	ParlaMint-DK_20201215130001	Hansard of the session of the Danish Parliament (Folketinget), 20201, M36 (2020-12-15), preliminary version	2020-12-15	Unicameralism	Regeringen Mette Frederiksen	20201	M36	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-12-15-20201-M36	ParlaMint-DK_20201215130052	Hansard of the session of the Danish Parliament (Folketinget), 20201, M36 (2020-12-15), preliminary version	2020-12-15	Unicameralism	Regeringen Mette Frederiksen	20201	M36	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-12-15-20201-M36	ParlaMint-DK_20201215130112	Hansard of the session of the Danish Parliament (Folketinget), 20201, M36 (2020-12-15), preliminary version	2020-12-15	Unicameralism	Regeringen Mette Frederiksen	20201	M36	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-12-15-20201-M36	ParlaMint-DK_20201215130121	Hansard of the session of the Danish Parliament (Folketinget), 20201, M36 (2020-12-15), preliminary version	2020-12-15	Unicameralism	Regeringen Mette Frederiksen	20201	M36	-	-	COVID	English	Regular	MP	notMinister	V	Venstre	Opposition	Centre-right	AndersenHans	Andersen, Hans	M	1974	
ParlaMint-DK-en_2020-12-15-20201-M36	ParlaMint-DK_20201215130357	Hansard of the session of the Danish Parliament (Folketinget), 20201, M36 (2020-12-15), preliminary version	2020-12-15	Unicameralism	Regeringen Mette Frederiksen	20201	M36	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-12-15-20201-M36	ParlaMint-DK_20201215130404	Hansard of the session of the Danish Parliament (Folketinget), 20201, M36 (2020-12-15), preliminary version	2020-12-15	Unicameralism	Regeringen Mette Frederiksen	20201	M36	-	-	COVID	English	Regular	MP	notMinister	NB	Nye Borgerlige	Opposition	Right to far-right	MathiesenLarsBoje	Mathiesen, Lars Boje	M	1975	
ParlaMint-DK-en_2020-12-15-20201-M36	ParlaMint-DK_20201215130455	Hansard of the session of the Danish Parliament (Folketinget), 20201, M36 (2020-12-15), preliminary version	2020-12-15	Unicameralism	Regeringen Mette Frederiksen	20201	M36	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-12-15-20201-M36	ParlaMint-DK_20201215130504	Hansard of the session of the Danish Parliament (Folketinget), 20201, M36 (2020-12-15), preliminary version	2020-12-15	Unicameralism	Regeringen Mette Frederiksen	20201	M36	-	-	COVID	English	Regular	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	BøgstedBent	Bøgsted, Bent	M	1956	
ParlaMint-DK-en_2020-12-15-20201-M36	ParlaMint-DK_20201215130911	Hansard of the session of the Danish Parliament (Folketinget), 20201, M36 (2020-12-15), preliminary version	2020-12-15	Unicameralism	Regeringen Mette Frederiksen	20201	M36	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-12-15-20201-M36	ParlaMint-DK_20201215130918	Hansard of the session of the Danish Parliament (Folketinget), 20201, M36 (2020-12-15), preliminary version	2020-12-15	Unicameralism	Regeringen Mette Frederiksen	20201	M36	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-12-15-20201-M36	ParlaMint-DK_20201215131123	Hansard of the session of the Danish Parliament (Folketinget), 20201, M36 (2020-12-15), preliminary version	2020-12-15	Unicameralism	Regeringen Mette Frederiksen	20201	M36	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
