Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-04-30-20191-M102	ParlaMint-DK_20200430100013	Hansard of the session of the Danish Parliament (Folketinget), 20191, M102 (2020-04-30), final version	2020-04-30	Unicameralism	Regeringen Mette Frederiksen	20191	M102	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2020-04-30-20191-M102	ParlaMint-DK_20200430100050	Hansard of the session of the Danish Parliament (Folketinget), 20191, M102 (2020-04-30), final version	2020-04-30	Unicameralism	Regeringen Mette Frederiksen	20191	M102	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2020-04-30-20191-M102	ParlaMint-DK_20200430100151	Hansard of the session of the Danish Parliament (Folketinget), 20191, M102 (2020-04-30), final version	2020-04-30	Unicameralism	Regeringen Mette Frederiksen	20191	M102	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2020-04-30-20191-M102	ParlaMint-DK_20200430100230	Hansard of the session of the Danish Parliament (Folketinget), 20191, M102 (2020-04-30), final version	2020-04-30	Unicameralism	Regeringen Mette Frederiksen	20191	M102	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2020-04-30-20191-M102	ParlaMint-DK_20200430100246	Hansard of the session of the Danish Parliament (Folketinget), 20191, M102 (2020-04-30), final version	2020-04-30	Unicameralism	Regeringen Mette Frederiksen	20191	M102	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
