Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-05-14-20191-M109	ParlaMint-DK_20200514100027	Hansard of the session of the Danish Parliament (Folketinget), 20191, M109 (2020-05-14), preliminary version	2020-05-14	Unicameralism	Regeringen Mette Frederiksen	20191	M109	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-14-20191-M109	ParlaMint-DK_20200514100049	Hansard of the session of the Danish Parliament (Folketinget), 20191, M109 (2020-05-14), preliminary version	2020-05-14	Unicameralism	Regeringen Mette Frederiksen	20191	M109	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-14-20191-M109	ParlaMint-DK_20200514100100	Hansard of the session of the Danish Parliament (Folketinget), 20191, M109 (2020-05-14), preliminary version	2020-05-14	Unicameralism	Regeringen Mette Frederiksen	20191	M109	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-14-20191-M109	ParlaMint-DK_20200514100125	Hansard of the session of the Danish Parliament (Folketinget), 20191, M109 (2020-05-14), preliminary version	2020-05-14	Unicameralism	Regeringen Mette Frederiksen	20191	M109	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-14-20191-M109	ParlaMint-DK_20200514100142	Hansard of the session of the Danish Parliament (Folketinget), 20191, M109 (2020-05-14), preliminary version	2020-05-14	Unicameralism	Regeringen Mette Frederiksen	20191	M109	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-14-20191-M109	ParlaMint-DK_20200514100235	Hansard of the session of the Danish Parliament (Folketinget), 20191, M109 (2020-05-14), preliminary version	2020-05-14	Unicameralism	Regeringen Mette Frederiksen	20191	M109	-	-	COVID	English	Regular	MP	notMinister	V	Venstre	Opposition	Centre-right	MelsonChristofferAagaard	Melson, Christoffer Aagaard	M	1984	
ParlaMint-DK-en_2020-05-14-20191-M109	ParlaMint-DK_20200514100352	Hansard of the session of the Danish Parliament (Folketinget), 20191, M109 (2020-05-14), preliminary version	2020-05-14	Unicameralism	Regeringen Mette Frederiksen	20191	M109	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-14-20191-M109	ParlaMint-DK_20200514100403	Hansard of the session of the Danish Parliament (Folketinget), 20191, M109 (2020-05-14), preliminary version	2020-05-14	Unicameralism	Regeringen Mette Frederiksen	20191	M109	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-14-20191-M109	ParlaMint-DK_20200514100438	Hansard of the session of the Danish Parliament (Folketinget), 20191, M109 (2020-05-14), preliminary version	2020-05-14	Unicameralism	Regeringen Mette Frederiksen	20191	M109	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-14-20191-M109	ParlaMint-DK_20200514100454	Hansard of the session of the Danish Parliament (Folketinget), 20191, M109 (2020-05-14), preliminary version	2020-05-14	Unicameralism	Regeringen Mette Frederiksen	20191	M109	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-14-20191-M109	ParlaMint-DK_20200514100508	Hansard of the session of the Danish Parliament (Folketinget), 20191, M109 (2020-05-14), preliminary version	2020-05-14	Unicameralism	Regeringen Mette Frederiksen	20191	M109	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
