Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-09-29-20191-M152	ParlaMint-DK_20200929131130	Hansard of the session of the Danish Parliament (Folketinget), 20191, M152 (2020-09-29), preliminary version	2020-09-29	Unicameralism	Regeringen Mette Frederiksen	20191	M152	-	-	COVID	English	Chairperson	MP	notMinister	SF	Socialistisk Folkeparti	-	Centre-left to left	TorpTrine	Torp, Trine	F	1970	
ParlaMint-DK-en_2020-09-29-20191-M152	ParlaMint-DK_20200929131138	Hansard of the session of the Danish Parliament (Folketinget), 20191, M152 (2020-09-29), preliminary version	2020-09-29	Unicameralism	Regeringen Mette Frederiksen	20191	M152	-	-	COVID	English	Chairperson	MP	notMinister	SF	Socialistisk Folkeparti	-	Centre-left to left	TorpTrine	Torp, Trine	F	1970	
ParlaMint-DK-en_2020-09-29-20191-M152	ParlaMint-DK_20200929131157	Hansard of the session of the Danish Parliament (Folketinget), 20191, M152 (2020-09-29), preliminary version	2020-09-29	Unicameralism	Regeringen Mette Frederiksen	20191	M152	-	-	COVID	English	Chairperson	MP	notMinister	SF	Socialistisk Folkeparti	-	Centre-left to left	TorpTrine	Torp, Trine	F	1970	
ParlaMint-DK-en_2020-09-29-20191-M152	ParlaMint-DK_20200929131203	Hansard of the session of the Danish Parliament (Folketinget), 20191, M152 (2020-09-29), preliminary version	2020-09-29	Unicameralism	Regeringen Mette Frederiksen	20191	M152	-	-	COVID	English	Chairperson	MP	notMinister	SF	Socialistisk Folkeparti	-	Centre-left to left	TorpTrine	Torp, Trine	F	1970	
ParlaMint-DK-en_2020-09-29-20191-M152	ParlaMint-DK_20200929131345	Hansard of the session of the Danish Parliament (Folketinget), 20191, M152 (2020-09-29), preliminary version	2020-09-29	Unicameralism	Regeringen Mette Frederiksen	20191	M152	-	-	COVID	English	Chairperson	MP	notMinister	SF	Socialistisk Folkeparti	-	Centre-left to left	TorpTrine	Torp, Trine	F	1970	
