Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2017-06-14-20161-M110	ParlaMint-DK_20170614144536	Hansard of the session of the Danish Parliament (Folketinget), 20161, M110 (2017-06-14), final version	2017-06-14	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-06-14-20161-M110	ParlaMint-DK_20170614144609	Hansard of the session of the Danish Parliament (Folketinget), 20161, M110 (2017-06-14), final version	2017-06-14	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-06-14-20161-M110	ParlaMint-DK_20170614144628	Hansard of the session of the Danish Parliament (Folketinget), 20161, M110 (2017-06-14), final version	2017-06-14	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-06-14-20161-M110	ParlaMint-DK_20170614144749	Hansard of the session of the Danish Parliament (Folketinget), 20161, M110 (2017-06-14), final version	2017-06-14	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-06-14-20161-M110	ParlaMint-DK_20170614144821	Hansard of the session of the Danish Parliament (Folketinget), 20161, M110 (2017-06-14), final version	2017-06-14	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-06-14-20161-M110	ParlaMint-DK_20170614145226	Hansard of the session of the Danish Parliament (Folketinget), 20161, M110 (2017-06-14), final version	2017-06-14	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-06-14-20161-M110	ParlaMint-DK_20170614145233	Hansard of the session of the Danish Parliament (Folketinget), 20161, M110 (2017-06-14), final version	2017-06-14	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-06-14-20161-M110	ParlaMint-DK_20170614145412	Hansard of the session of the Danish Parliament (Folketinget), 20161, M110 (2017-06-14), final version	2017-06-14	Unicameralism	Regeringen Lars Løkke Rasmussen III	20161	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
