Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2017-10-04-20171-M2	ParlaMint-DK_20171004130007	Hansard of the session of the Danish Parliament (Folketinget), 20171, M2 (2017-10-04), final version	2017-10-04	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-10-04-20171-M2	ParlaMint-DK_20171004130237	Hansard of the session of the Danish Parliament (Folketinget), 20171, M2 (2017-10-04), final version	2017-10-04	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-10-04-20171-M2	ParlaMint-DK_20171004130318	Hansard of the session of the Danish Parliament (Folketinget), 20171, M2 (2017-10-04), final version	2017-10-04	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
