Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-PT-en_2015-01-07-meta.tsv,2015-01-07,1,17,20,7,0
ParlaMint-PT-en_2015-01-08-meta.tsv,2015-01-08,1,18,23,4,0
ParlaMint-PT-en_2015-01-09-meta.tsv,2015-01-09,1,13,24,5,0
ParlaMint-PT-en_2015-01-14-meta.tsv,2015-01-14,1,15,17,4,0
ParlaMint-PT-en_2015-01-15-meta.tsv,2015-01-15,1,15,9,2,0
ParlaMint-PT-en_2015-01-16-meta.tsv,2015-01-16,0,9,13,2,0
ParlaMint-PT-en_2015-01-21-meta.tsv,2015-01-21,0,13,19,3,0
ParlaMint-PT-en_2015-01-22-meta.tsv,2015-01-22,1,23,25,7,0
ParlaMint-PT-en_2015-01-28-meta.tsv,2015-01-28,1,18,21,3,0
ParlaMint-PT-en_2015-01-29-meta.tsv,2015-01-29,1,14,19,4,0
ParlaMint-PT-en_2015-01-30-meta.tsv,2015-01-30,0,13,13,3,0
ParlaMint-PT-en_2015-02-04-meta.tsv,2015-02-04,0,15,21,3,0
ParlaMint-PT-en_2015-02-05-meta.tsv,2015-02-05,0,14,25,4,0
ParlaMint-PT-en_2015-02-06-meta.tsv,2015-02-06,0,16,13,4,0
ParlaMint-PT-en_2015-02-11-meta.tsv,2015-02-11,0,11,19,2,0
ParlaMint-PT-en_2015-02-12-meta.tsv,2015-02-12,0,14,22,5,0
ParlaMint-PT-en_2015-02-13-meta.tsv,2015-02-13,1,10,23,5,0
ParlaMint-PT-en_2015-02-18-meta.tsv,2015-02-18,0,11,18,2,0
ParlaMint-PT-en_2015-02-19-meta.tsv,2015-02-19,0,14,16,4,0
ParlaMint-PT-en_2015-02-20-meta.tsv,2015-02-20,0,13,16,3,0
ParlaMint-PT-en_2015-02-25-meta.tsv,2015-02-25,0,17,20,5,0
ParlaMint-PT-en_2015-02-26-meta.tsv,2015-02-26,0,13,17,4,0
ParlaMint-PT-en_2015-02-27-meta.tsv,2015-02-27,1,13,11,2,0
ParlaMint-PT-en_2015-03-04-meta.tsv,2015-03-04,1,14,11,2,0
ParlaMint-PT-en_2015-03-05-meta.tsv,2015-03-05,0,10,26,5,0
ParlaMint-PT-en_2015-03-06-meta.tsv,2015-03-06,1,17,12,3,0
ParlaMint-PT-en_2015-03-11-meta.tsv,2015-03-11,0,12,12,2,0
ParlaMint-PT-en_2015-03-12-meta.tsv,2015-03-12,0,15,17,6,0
ParlaMint-PT-en_2015-03-18-meta.tsv,2015-03-18,0,12,25,5,0
ParlaMint-PT-en_2015-03-19-meta.tsv,2015-03-19,0,15,14,6,0
ParlaMint-PT-en_2015-03-20-meta.tsv,2015-03-20,0,14,19,4,0
ParlaMint-PT-en_2015-03-25-meta.tsv,2015-03-25,1,14,23,5,0
ParlaMint-PT-en_2015-03-26-meta.tsv,2015-03-26,0,13,17,4,0
ParlaMint-PT-en_2015-03-27-meta.tsv,2015-03-27,0,10,19,6,0
ParlaMint-PT-en_2015-04-01-meta.tsv,2015-04-01,0,4,11,1,0
ParlaMint-PT-en_2015-04-02-meta.tsv,2015-04-02,1,12,21,4,0
ParlaMint-PT-en_2015-04-08-meta.tsv,2015-04-08,0,12,16,3,0
ParlaMint-PT-en_2015-04-09-meta.tsv,2015-04-09,0,8,17,6,0
