Session,Date,Coalition,Opposition
ParlaMint-DK-en_2014-10-07-20141-M1-meta.tsv,2014-10-07,2,1
ParlaMint-DK-en_2014-10-08-20141-M2-meta.tsv,2014-10-08,1,0
ParlaMint-DK-en_2014-10-09-20141-M3-meta.tsv,2014-10-09,22,26
ParlaMint-DK-en_2014-10-10-20141-M4-meta.tsv,2014-10-10,4,5
ParlaMint-DK-en_2014-10-21-20141-M5-meta.tsv,2014-10-21,5,5
ParlaMint-DK-en_2014-10-22-20141-M6-meta.tsv,2014-10-22,7,9
ParlaMint-DK-en_2014-10-23-20141-M7-meta.tsv,2014-10-23,11,14
ParlaMint-DK-en_2014-10-24-20141-M8-meta.tsv,2014-10-24,8,7
ParlaMint-DK-en_2014-10-30-20141-M9-meta.tsv,2014-10-30,11,14
ParlaMint-DK-en_2014-10-31-20141-M10-meta.tsv,2014-10-31,1,0
ParlaMint-DK-en_2014-10-31-20141-M11-meta.tsv,2014-10-31,6,9
ParlaMint-DK-en_2014-11-04-20141-M12-meta.tsv,2014-11-04,8,16
ParlaMint-DK-en_2014-11-05-20141-M13-meta.tsv,2014-11-05,8,12
ParlaMint-DK-en_2014-11-06-20141-M14-meta.tsv,2014-11-06,10,13
ParlaMint-DK-en_2014-11-07-20141-M15-meta.tsv,2014-11-07,7,10
ParlaMint-DK-en_2014-11-11-20141-M16-meta.tsv,2014-11-11,9,10
ParlaMint-DK-en_2014-11-12-20141-M17-meta.tsv,2014-11-12,9,14
ParlaMint-DK-en_2014-11-13-20141-M18-meta.tsv,2014-11-13,9,12
ParlaMint-DK-en_2014-11-14-20141-M19-meta.tsv,2014-11-14,4,8
ParlaMint-DK-en_2014-11-18-20141-M20-meta.tsv,2014-11-18,10,15
ParlaMint-DK-en_2014-11-19-20141-M21-meta.tsv,2014-11-19,8,14
ParlaMint-DK-en_2014-11-20-20141-M22-meta.tsv,2014-11-20,21,23
ParlaMint-DK-en_2014-11-21-20141-M23-meta.tsv,2014-11-21,12,12
ParlaMint-DK-en_2014-11-25-20141-M24-meta.tsv,2014-11-25,10,16
ParlaMint-DK-en_2014-11-26-20141-M25-meta.tsv,2014-11-26,8,14
ParlaMint-DK-en_2014-11-27-20141-M26-meta.tsv,2014-11-27,10,10
ParlaMint-DK-en_2014-11-28-20141-M27-meta.tsv,2014-11-28,15,17
ParlaMint-DK-en_2014-12-02-20141-M28-meta.tsv,2014-12-02,16,21
ParlaMint-DK-en_2014-12-03-20141-M29-meta.tsv,2014-12-03,11,19
ParlaMint-DK-en_2014-12-04-20141-M30-meta.tsv,2014-12-04,8,13
ParlaMint-DK-en_2014-12-05-20141-M31-meta.tsv,2014-12-05,4,4
ParlaMint-DK-en_2014-12-09-20141-M32-meta.tsv,2014-12-09,5,7
ParlaMint-DK-en_2014-12-10-20141-M33-meta.tsv,2014-12-10,9,11
ParlaMint-DK-en_2014-12-11-20141-M34-meta.tsv,2014-12-11,13,13
ParlaMint-DK-en_2014-12-12-20141-M35-meta.tsv,2014-12-12,4,5
ParlaMint-DK-en_2014-12-16-20141-M36-meta.tsv,2014-12-16,6,8
ParlaMint-DK-en_2014-12-17-20141-M37-meta.tsv,2014-12-17,17,22
ParlaMint-DK-en_2014-12-18-20141-M38-meta.tsv,2014-12-18,12,13
ParlaMint-DK-en_2014-12-19-20141-M39-meta.tsv,2014-12-19,8,3
ParlaMint-DK-en_2015-01-13-20141-M40-meta.tsv,2015-01-13,6,8
ParlaMint-DK-en_2015-01-14-20141-M41-meta.tsv,2015-01-14,9,14
ParlaMint-DK-en_2015-01-15-20141-M42-meta.tsv,2015-01-15,16,18
ParlaMint-DK-en_2015-01-16-20141-M43-meta.tsv,2015-01-16,9,10
ParlaMint-DK-en_2015-01-20-20141-M44-meta.tsv,2015-01-20,11,14
ParlaMint-DK-en_2015-01-21-20141-M45-meta.tsv,2015-01-21,11,12
ParlaMint-DK-en_2015-01-22-20141-M46-meta.tsv,2015-01-22,10,11
ParlaMint-DK-en_2015-01-23-20141-M47-meta.tsv,2015-01-23,8,11
ParlaMint-DK-en_2015-01-27-20141-M48-meta.tsv,2015-01-27,10,16
ParlaMint-DK-en_2015-01-28-20141-M49-meta.tsv,2015-01-28,7,12
ParlaMint-DK-en_2015-01-29-20141-M50-meta.tsv,2015-01-29,11,12
ParlaMint-DK-en_2015-02-03-20141-M51-meta.tsv,2015-02-03,15,15
ParlaMint-DK-en_2015-02-04-20141-M52-meta.tsv,2015-02-04,8,9
ParlaMint-DK-en_2015-02-05-20141-M53-meta.tsv,2015-02-05,13,16
ParlaMint-DK-en_2015-02-06-20141-M54-meta.tsv,2015-02-06,4,4
ParlaMint-DK-en_2015-02-17-20141-M55-meta.tsv,2015-02-17,11,16
ParlaMint-DK-en_2015-02-18-20141-M56-meta.tsv,2015-02-18,7,6
ParlaMint-DK-en_2015-02-19-20141-M57-meta.tsv,2015-02-19,10,28
ParlaMint-DK-en_2015-02-24-20141-M58-meta.tsv,2015-02-24,10,13
ParlaMint-DK-en_2015-02-25-20141-M59-meta.tsv,2015-02-25,8,8
ParlaMint-DK-en_2015-02-26-20141-M60-meta.tsv,2015-02-26,17,23
ParlaMint-DK-en_2015-02-27-20141-M61-meta.tsv,2015-02-27,7,5
ParlaMint-DK-en_2015-03-10-20141-M62-meta.tsv,2015-03-10,16,23
ParlaMint-DK-en_2015-03-11-20141-M63-meta.tsv,2015-03-11,11,17
ParlaMint-DK-en_2015-03-17-20141-M64-meta.tsv,2015-03-17,9,17
ParlaMint-DK-en_2015-03-18-20141-M65-meta.tsv,2015-03-18,8,12
ParlaMint-DK-en_2015-03-19-20141-M66-meta.tsv,2015-03-19,15,24
ParlaMint-DK-en_2015-03-20-20141-M67-meta.tsv,2015-03-20,10,12
ParlaMint-DK-en_2015-03-24-20141-M68-meta.tsv,2015-03-24,12,17
ParlaMint-DK-en_2015-03-25-20141-M69-meta.tsv,2015-03-25,8,12
ParlaMint-DK-en_2015-03-26-20141-M70-meta.tsv,2015-03-26,13,11
ParlaMint-DK-en_2015-03-27-20141-M71-meta.tsv,2015-03-27,9,9
ParlaMint-DK-en_2015-04-07-20141-M72-meta.tsv,2015-04-07,9,12
ParlaMint-DK-en_2015-04-08-20141-M73-meta.tsv,2015-04-08,15,19
ParlaMint-DK-en_2015-04-09-20141-M74-meta.tsv,2015-04-09,16,15
ParlaMint-DK-en_2015-04-10-20141-M75-meta.tsv,2015-04-10,7,7
ParlaMint-DK-en_2015-04-14-20141-M76-meta.tsv,2015-04-14,15,20
ParlaMint-DK-en_2015-04-15-20141-M77-meta.tsv,2015-04-15,9,8
ParlaMint-DK-en_2015-04-16-20141-M78-meta.tsv,2015-04-16,10,13
ParlaMint-DK-en_2015-04-17-20141-M79-meta.tsv,2015-04-17,12,13
ParlaMint-DK-en_2015-04-21-20141-M80-meta.tsv,2015-04-21,12,22
ParlaMint-DK-en_2015-04-22-20141-M81-meta.tsv,2015-04-22,10,10
ParlaMint-DK-en_2015-04-24-20141-M82-meta.tsv,2015-04-24,10,13
ParlaMint-DK-en_2015-04-28-20141-M83-meta.tsv,2015-04-28,25,27
ParlaMint-DK-en_2015-04-29-20141-M84-meta.tsv,2015-04-29,7,8
ParlaMint-DK-en_2015-04-30-20141-M85-meta.tsv,2015-04-30,13,18
ParlaMint-DK-en_2015-05-05-20141-M86-meta.tsv,2015-05-05,17,15
ParlaMint-DK-en_2015-05-06-20141-M87-meta.tsv,2015-05-06,12,23
ParlaMint-DK-en_2015-05-07-20141-M88-meta.tsv,2015-05-07,8,14
ParlaMint-DK-en_2015-05-08-20141-M89-meta.tsv,2015-05-08,16,17
