Session,Date,Male,Female
ParlaMint-DK-en_2014-10-07-20141-M1-meta.tsv,2014-10-07,2,1
ParlaMint-DK-en_2014-10-08-20141-M2-meta.tsv,2014-10-08,1,0
ParlaMint-DK-en_2014-10-09-20141-M3-meta.tsv,2014-10-09,40,26
ParlaMint-DK-en_2014-10-10-20141-M4-meta.tsv,2014-10-10,9,2
ParlaMint-DK-en_2014-10-21-20141-M5-meta.tsv,2014-10-21,9,3
ParlaMint-DK-en_2014-10-22-20141-M6-meta.tsv,2014-10-22,13,5
ParlaMint-DK-en_2014-10-23-20141-M7-meta.tsv,2014-10-23,22,9
ParlaMint-DK-en_2014-10-24-20141-M8-meta.tsv,2014-10-24,16,5
ParlaMint-DK-en_2014-10-30-20141-M9-meta.tsv,2014-10-30,13,21
ParlaMint-DK-en_2014-10-31-20141-M10-meta.tsv,2014-10-31,1,0
ParlaMint-DK-en_2014-10-31-20141-M11-meta.tsv,2014-10-31,16,2
ParlaMint-DK-en_2014-11-04-20141-M12-meta.tsv,2014-11-04,21,10
ParlaMint-DK-en_2014-11-05-20141-M13-meta.tsv,2014-11-05,14,6
ParlaMint-DK-en_2014-11-06-20141-M14-meta.tsv,2014-11-06,13,14
ParlaMint-DK-en_2014-11-07-20141-M15-meta.tsv,2014-11-07,11,10
ParlaMint-DK-en_2014-11-11-20141-M16-meta.tsv,2014-11-11,21,2
ParlaMint-DK-en_2014-11-12-20141-M17-meta.tsv,2014-11-12,17,7
ParlaMint-DK-en_2014-11-13-20141-M18-meta.tsv,2014-11-13,16,10
ParlaMint-DK-en_2014-11-14-20141-M19-meta.tsv,2014-11-14,9,5
ParlaMint-DK-en_2014-11-18-20141-M20-meta.tsv,2014-11-18,21,12
ParlaMint-DK-en_2014-11-19-20141-M21-meta.tsv,2014-11-19,17,7
ParlaMint-DK-en_2014-11-20-20141-M22-meta.tsv,2014-11-20,29,23
ParlaMint-DK-en_2014-11-21-20141-M23-meta.tsv,2014-11-21,18,11
ParlaMint-DK-en_2014-11-25-20141-M24-meta.tsv,2014-11-25,20,11
ParlaMint-DK-en_2014-11-26-20141-M25-meta.tsv,2014-11-26,17,7
ParlaMint-DK-en_2014-11-27-20141-M26-meta.tsv,2014-11-27,19,6
ParlaMint-DK-en_2014-11-28-20141-M27-meta.tsv,2014-11-28,28,10
ParlaMint-DK-en_2014-12-02-20141-M28-meta.tsv,2014-12-02,30,21
ParlaMint-DK-en_2014-12-03-20141-M29-meta.tsv,2014-12-03,25,8
ParlaMint-DK-en_2014-12-04-20141-M30-meta.tsv,2014-12-04,19,7
ParlaMint-DK-en_2014-12-05-20141-M31-meta.tsv,2014-12-05,6,4
ParlaMint-DK-en_2014-12-09-20141-M32-meta.tsv,2014-12-09,16,1
ParlaMint-DK-en_2014-12-10-20141-M33-meta.tsv,2014-12-10,14,8
ParlaMint-DK-en_2014-12-11-20141-M34-meta.tsv,2014-12-11,25,10
ParlaMint-DK-en_2014-12-12-20141-M35-meta.tsv,2014-12-12,8,3
ParlaMint-DK-en_2014-12-16-20141-M36-meta.tsv,2014-12-16,15,5
ParlaMint-DK-en_2014-12-17-20141-M37-meta.tsv,2014-12-17,33,15
ParlaMint-DK-en_2014-12-18-20141-M38-meta.tsv,2014-12-18,17,17
ParlaMint-DK-en_2014-12-19-20141-M39-meta.tsv,2014-12-19,10,5
ParlaMint-DK-en_2015-01-13-20141-M40-meta.tsv,2015-01-13,14,4
ParlaMint-DK-en_2015-01-14-20141-M41-meta.tsv,2015-01-14,17,8
ParlaMint-DK-en_2015-01-15-20141-M42-meta.tsv,2015-01-15,27,15
ParlaMint-DK-en_2015-01-16-20141-M43-meta.tsv,2015-01-16,12,12
ParlaMint-DK-en_2015-01-20-20141-M44-meta.tsv,2015-01-20,24,10
ParlaMint-DK-en_2015-01-21-20141-M45-meta.tsv,2015-01-21,18,10
ParlaMint-DK-en_2015-01-22-20141-M46-meta.tsv,2015-01-22,10,14
ParlaMint-DK-en_2015-01-23-20141-M47-meta.tsv,2015-01-23,16,8
ParlaMint-DK-en_2015-01-27-20141-M48-meta.tsv,2015-01-27,18,13
ParlaMint-DK-en_2015-01-28-20141-M49-meta.tsv,2015-01-28,17,4
ParlaMint-DK-en_2015-01-29-20141-M50-meta.tsv,2015-01-29,19,10
ParlaMint-DK-en_2015-02-03-20141-M51-meta.tsv,2015-02-03,23,16
ParlaMint-DK-en_2015-02-04-20141-M52-meta.tsv,2015-02-04,9,8
ParlaMint-DK-en_2015-02-05-20141-M53-meta.tsv,2015-02-05,29,8
ParlaMint-DK-en_2015-02-06-20141-M54-meta.tsv,2015-02-06,4,6
ParlaMint-DK-en_2015-02-17-20141-M55-meta.tsv,2015-02-17,22,12
ParlaMint-DK-en_2015-02-18-20141-M56-meta.tsv,2015-02-18,11,5
ParlaMint-DK-en_2015-02-19-20141-M57-meta.tsv,2015-02-19,27,17
ParlaMint-DK-en_2015-02-24-20141-M58-meta.tsv,2015-02-24,20,9
ParlaMint-DK-en_2015-02-25-20141-M59-meta.tsv,2015-02-25,15,4
ParlaMint-DK-en_2015-02-26-20141-M60-meta.tsv,2015-02-26,29,23
ParlaMint-DK-en_2015-02-27-20141-M61-meta.tsv,2015-02-27,7,9
ParlaMint-DK-en_2015-03-10-20141-M62-meta.tsv,2015-03-10,33,15
ParlaMint-DK-en_2015-03-11-20141-M63-meta.tsv,2015-03-11,21,10
ParlaMint-DK-en_2015-03-17-20141-M64-meta.tsv,2015-03-17,22,10
ParlaMint-DK-en_2015-03-18-20141-M65-meta.tsv,2015-03-18,18,5
ParlaMint-DK-en_2015-03-19-20141-M66-meta.tsv,2015-03-19,24,21
ParlaMint-DK-en_2015-03-20-20141-M67-meta.tsv,2015-03-20,22,6
ParlaMint-DK-en_2015-03-24-20141-M68-meta.tsv,2015-03-24,26,16
ParlaMint-DK-en_2015-03-25-20141-M69-meta.tsv,2015-03-25,20,4
ParlaMint-DK-en_2015-03-26-20141-M70-meta.tsv,2015-03-26,20,10
ParlaMint-DK-en_2015-03-27-20141-M71-meta.tsv,2015-03-27,18,5
ParlaMint-DK-en_2015-04-07-20141-M72-meta.tsv,2015-04-07,22,6
ParlaMint-DK-en_2015-04-08-20141-M73-meta.tsv,2015-04-08,24,13
ParlaMint-DK-en_2015-04-09-20141-M74-meta.tsv,2015-04-09,19,18
ParlaMint-DK-en_2015-04-10-20141-M75-meta.tsv,2015-04-10,9,9
ParlaMint-DK-en_2015-04-14-20141-M76-meta.tsv,2015-04-14,32,15
ParlaMint-DK-en_2015-04-15-20141-M77-meta.tsv,2015-04-15,17,1
ParlaMint-DK-en_2015-04-16-20141-M78-meta.tsv,2015-04-16,26,3
ParlaMint-DK-en_2015-04-17-20141-M79-meta.tsv,2015-04-17,15,13
ParlaMint-DK-en_2015-04-21-20141-M80-meta.tsv,2015-04-21,25,17
ParlaMint-DK-en_2015-04-22-20141-M81-meta.tsv,2015-04-22,16,6
ParlaMint-DK-en_2015-04-24-20141-M82-meta.tsv,2015-04-24,19,12
ParlaMint-DK-en_2015-04-28-20141-M83-meta.tsv,2015-04-28,43,22
ParlaMint-DK-en_2015-04-29-20141-M84-meta.tsv,2015-04-29,13,5
ParlaMint-DK-en_2015-04-30-20141-M85-meta.tsv,2015-04-30,28,9
ParlaMint-DK-en_2015-05-05-20141-M86-meta.tsv,2015-05-05,27,16
ParlaMint-DK-en_2015-05-06-20141-M87-meta.tsv,2015-05-06,26,13
ParlaMint-DK-en_2015-05-07-20141-M88-meta.tsv,2015-05-07,15,14
ParlaMint-DK-en_2015-05-08-20141-M89-meta.tsv,2015-05-08,30,12
