Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45150	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45151	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45152	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45153	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45154	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45155	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45156	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45157	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45158	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45159	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45160	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45161	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45162	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45163	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45164	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45165	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45166	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45167	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ŠimićDiana	Šimić, Diana	U	-	
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45168	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	BebićLuka	Bebić, Luka	M	1937	
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45169	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ĆosićKrešimir	Ćosić, Krešimir	M	1949	
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45170	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MilinovićDarko	Milinović, Darko	M	1963	
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45171	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	AntičevićMarinovićIngrid	Antičević Marinović, Ingrid	F	1957	
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45172	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MilinovićDarko	Milinović, Darko	M	1963	
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45173	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	PlešaVelimir	Pleša, Velimir	M	1956	
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45174	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MilinovićDarko	Milinović, Darko	M	1963	
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45175	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	AntičevićMarinovićIngrid	Antičević Marinović, Ingrid	F	1957	
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45176	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MilinovićDarko	Milinović, Darko	M	1963	
ParlaMint-HR-en_2005-10-12-0	ParlaMint-HR_2005-10-12-0.u45177	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 16	2005-10-12	Unicameralism	5. mandat	-	Zasedanje 16	2005-10-14	-	Reference	English	Regular	MP	notMinister	HSS	Hrvatska seljačka stranka	Opposition	Centre to centre-right	LedinskiŽeljko	Ledinski, Željko	M	1960	
