Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-03-07-023-XXIII-NRSITZ-00015	ParlaMint-AT_2007-03-07-023-XXIII-NRSITZ-00015_d7e383	Sitting Number 15, Legislative period XXIII, Wednesday, 7. March 2007	2007-03-07	Lower house	Legislative period XXIII	-	-	Sitting 15	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-03-07-023-XXIII-NRSITZ-00015	ParlaMint-AT_2007-03-07-023-XXIII-NRSITZ-00015_d7e414	Sitting Number 15, Legislative period XXIII, Wednesday, 7. March 2007	2007-03-07	Lower house	Legislative period XXIII	-	-	Sitting 15	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-03-07-023-XXIII-NRSITZ-00015	ParlaMint-AT_2007-03-07-023-XXIII-NRSITZ-00015_d7e866	Sitting Number 15, Legislative period XXIII, Wednesday, 7. March 2007	2007-03-07	Lower house	Legislative period XXIII	-	-	Sitting 15	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
