Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-10-17-023-XXIII-NRSITZ-00036	ParlaMint-AT_2007-10-17-023-XXIII-NRSITZ-00036_d7e346	Sitting Number 36, Legislative period XXIII, Wednesday, 17. October 2007	2007-10-17	Lower house	Legislative period XXIII	-	-	Sitting 36	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2007-10-17-023-XXIII-NRSITZ-00036	ParlaMint-AT_2007-10-17-023-XXIII-NRSITZ-00036_d7e377	Sitting Number 36, Legislative period XXIII, Wednesday, 17. October 2007	2007-10-17	Lower house	Legislative period XXIII	-	-	Sitting 36	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2007-10-17-023-XXIII-NRSITZ-00036	ParlaMint-AT_2007-10-17-023-XXIII-NRSITZ-00036_d7e743	Sitting Number 36, Legislative period XXIII, Wednesday, 17. October 2007	2007-10-17	Lower house	Legislative period XXIII	-	-	Sitting 36	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
