Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-03-30-023-XXIII-NRSITZ-00019	ParlaMint-AT_2007-03-30-023-XXIII-NRSITZ-00019_d7e446	Sitting Number 19, Legislative period XXIII, Friday, 30. March 2007	2007-03-30	Lower house	Legislative period XXIII	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2007-03-30-023-XXIII-NRSITZ-00019	ParlaMint-AT_2007-03-30-023-XXIII-NRSITZ-00019_d7e477	Sitting Number 19, Legislative period XXIII, Friday, 30. March 2007	2007-03-30	Lower house	Legislative period XXIII	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2007-03-30-023-XXIII-NRSITZ-00019	ParlaMint-AT_2007-03-30-023-XXIII-NRSITZ-00019_d7e563	Sitting Number 19, Legislative period XXIII, Friday, 30. March 2007	2007-03-30	Lower house	Legislative period XXIII	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
