Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-12-06-023-XXIII-NRSITZ-00043	ParlaMint-AT_2007-12-06-023-XXIII-NRSITZ-00043_d7e398	Sitting Number 43, Legislative period XXIII, Thursday, 6. December 2007	2007-12-06	Lower house	Legislative period XXIII	-	-	Sitting 43	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-12-06-023-XXIII-NRSITZ-00043	ParlaMint-AT_2007-12-06-023-XXIII-NRSITZ-00043_d7e429	Sitting Number 43, Legislative period XXIII, Thursday, 6. December 2007	2007-12-06	Lower house	Legislative period XXIII	-	-	Sitting 43	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-12-06-023-XXIII-NRSITZ-00043	ParlaMint-AT_2007-12-06-023-XXIII-NRSITZ-00043_d7e502	Sitting Number 43, Legislative period XXIII, Thursday, 6. December 2007	2007-12-06	Lower house	Legislative period XXIII	-	-	Sitting 43	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-12-06-023-XXIII-NRSITZ-00043	ParlaMint-AT_2007-12-06-023-XXIII-NRSITZ-00043_d7e537	Sitting Number 43, Legislative period XXIII, Thursday, 6. December 2007	2007-12-06	Lower house	Legislative period XXIII	-	-	Sitting 43	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
