Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-05-03-023-XXIII-NRSITZ-00022	ParlaMint-AT_2007-05-03-023-XXIII-NRSITZ-00022_d7e1268	Sitting Number 22, Legislative period XXIII, Thursday, 3. May 2007	2007-05-03	Lower house	Legislative period XXIII	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-05-03-023-XXIII-NRSITZ-00022	ParlaMint-AT_2007-05-03-023-XXIII-NRSITZ-00022_d7e1302	Sitting Number 22, Legislative period XXIII, Thursday, 3. May 2007	2007-05-03	Lower house	Legislative period XXIII	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-05-03-023-XXIII-NRSITZ-00022	ParlaMint-AT_2007-05-03-023-XXIII-NRSITZ-00022_d7e1758	Sitting Number 22, Legislative period XXIII, Thursday, 3. May 2007	2007-05-03	Lower house	Legislative period XXIII	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
