Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-10-10-023-XXIII-NRSITZ-00034	ParlaMint-AT_2007-10-10-023-XXIII-NRSITZ-00034_d7e367	Sitting Number 34, Legislative period XXIII, Wednesday, 10. October 2007	2007-10-10	Lower house	Legislative period XXIII	-	-	Sitting 34	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-10-10-023-XXIII-NRSITZ-00034	ParlaMint-AT_2007-10-10-023-XXIII-NRSITZ-00034_d7e398	Sitting Number 34, Legislative period XXIII, Wednesday, 10. October 2007	2007-10-10	Lower house	Legislative period XXIII	-	-	Sitting 34	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-10-10-023-XXIII-NRSITZ-00034	ParlaMint-AT_2007-10-10-023-XXIII-NRSITZ-00034_d7e582	Sitting Number 34, Legislative period XXIII, Wednesday, 10. October 2007	2007-10-10	Lower house	Legislative period XXIII	-	-	Sitting 34	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
