Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-01-17-023-XXIII-NRSITZ-00010	ParlaMint-AT_2007-01-17-023-XXIII-NRSITZ-00010_d7e409	Sitting Number 10, Legislative period XXIII, Wednesday, 17. January 2007	2007-01-17	Lower house	Legislative period XXIII	-	-	Sitting 10	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2007-01-17-023-XXIII-NRSITZ-00010	ParlaMint-AT_2007-01-17-023-XXIII-NRSITZ-00010_d7e440	Sitting Number 10, Legislative period XXIII, Wednesday, 17. January 2007	2007-01-17	Lower house	Legislative period XXIII	-	-	Sitting 10	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2007-01-17-023-XXIII-NRSITZ-00010	ParlaMint-AT_2007-01-17-023-XXIII-NRSITZ-00010_d7e589	Sitting Number 10, Legislative period XXIII, Wednesday, 17. January 2007	2007-01-17	Lower house	Legislative period XXIII	-	-	Sitting 10	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
