Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-09-27-023-XXIII-NRSITZ-00032	ParlaMint-AT_2007-09-27-023-XXIII-NRSITZ-00032_d7e374	Sitting Number 32, Legislative period XXIII, Thursday, 27. September 2007	2007-09-27	Lower house	Legislative period XXIII	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-09-27-023-XXIII-NRSITZ-00032	ParlaMint-AT_2007-09-27-023-XXIII-NRSITZ-00032_d7e408	Sitting Number 32, Legislative period XXIII, Thursday, 27. September 2007	2007-09-27	Lower house	Legislative period XXIII	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-09-27-023-XXIII-NRSITZ-00032	ParlaMint-AT_2007-09-27-023-XXIII-NRSITZ-00032_d7e1042	Sitting Number 32, Legislative period XXIII, Thursday, 27. September 2007	2007-09-27	Lower house	Legislative period XXIII	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
