Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-11-08-023-XXIII-NRSITZ-00039	ParlaMint-AT_2007-11-08-023-XXIII-NRSITZ-00039_d7e361	Sitting Number 39, Legislative period XXIII, Thursday, 8. November 2007	2007-11-08	Lower house	Legislative period XXIII	-	-	Sitting 39	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2007-11-08-023-XXIII-NRSITZ-00039	ParlaMint-AT_2007-11-08-023-XXIII-NRSITZ-00039_d7e392	Sitting Number 39, Legislative period XXIII, Thursday, 8. November 2007	2007-11-08	Lower house	Legislative period XXIII	-	-	Sitting 39	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2007-11-08-023-XXIII-NRSITZ-00039	ParlaMint-AT_2007-11-08-023-XXIII-NRSITZ-00039_d7e707	Sitting Number 39, Legislative period XXIII, Thursday, 8. November 2007	2007-11-08	Lower house	Legislative period XXIII	-	-	Sitting 39	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
