Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-07-05-023-XXIII-NRSITZ-00029	ParlaMint-AT_2007-07-05-023-XXIII-NRSITZ-00029_d7e333	Sitting Number 29, Legislative period XXIII, Thursday, 5. July 2007	2007-07-05	Lower house	Legislative period XXIII	-	-	Sitting 29	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-07-05-023-XXIII-NRSITZ-00029	ParlaMint-AT_2007-07-05-023-XXIII-NRSITZ-00029_d7e370	Sitting Number 29, Legislative period XXIII, Thursday, 5. July 2007	2007-07-05	Lower house	Legislative period XXIII	-	-	Sitting 29	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-07-05-023-XXIII-NRSITZ-00029	ParlaMint-AT_2007-07-05-023-XXIII-NRSITZ-00029_d7e488	Sitting Number 29, Legislative period XXIII, Thursday, 5. July 2007	2007-07-05	Lower house	Legislative period XXIII	-	-	Sitting 29	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
