Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2007-06-06-023-XXIII-NRSITZ-00026	ParlaMint-AT_2007-06-06-023-XXIII-NRSITZ-00026_d7e407	Sitting Number 26, Legislative period XXIII, Wednesday, 6. June 2007	2007-06-06	Lower house	Legislative period XXIII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-06-06-023-XXIII-NRSITZ-00026	ParlaMint-AT_2007-06-06-023-XXIII-NRSITZ-00026_d7e438	Sitting Number 26, Legislative period XXIII, Wednesday, 6. June 2007	2007-06-06	Lower house	Legislative period XXIII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2007-06-06-023-XXIII-NRSITZ-00026	ParlaMint-AT_2007-06-06-023-XXIII-NRSITZ-00026_d7e713	Sitting Number 26, Legislative period XXIII, Wednesday, 6. June 2007	2007-06-06	Lower house	Legislative period XXIII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
