Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2004-09-09-1	ParlaMint-BA_2004-09-09-1.u3502	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 29	2004-09-09	Unicameralism	4. mandat	-	Sjednica 29	2004-09-09	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	MilojevićGoran	Milojević, Goran	M	1960	
ParlaMint-BA-en_2004-09-09-1	ParlaMint-BA_2004-09-09-1.u3503	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 29	2004-09-09	Unicameralism	4. mandat	-	Sjednica 29	2004-09-09	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2004-09-09-1	ParlaMint-BA_2004-09-09-1.u3504	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 29	2004-09-09	Unicameralism	4. mandat	-	Sjednica 29	2004-09-09	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	MilojevićGoran	Milojević, Goran	M	1960	
