Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2004-09-30-0	ParlaMint-BA_2004-09-30-0.u3562	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 31	2004-09-30	Unicameralism	4. mandat	-	Sjednica 31	2004-09-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	MilojevićGoran	Milojević, Goran	M	1960	
ParlaMint-BA-en_2004-09-30-0	ParlaMint-BA_2004-09-30-0.u3563	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 31	2004-09-30	Unicameralism	4. mandat	-	Sjednica 31	2004-09-30	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2004-09-30-0	ParlaMint-BA_2004-09-30-0.u3564	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 31	2004-09-30	Unicameralism	4. mandat	-	Sjednica 31	2004-09-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	MilojevićGoran	Milojević, Goran	M	1960	
ParlaMint-BA-en_2004-09-30-0	ParlaMint-BA_2004-09-30-0.u3565	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 31	2004-09-30	Unicameralism	4. mandat	-	Sjednica 31	2004-09-30	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	RadovićNade	Radović, Nade	U	-	
ParlaMint-BA-en_2004-09-30-0	ParlaMint-BA_2004-09-30-0.u3566	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 31	2004-09-30	Unicameralism	4. mandat	-	Sjednica 31	2004-09-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	MilojevićGoran	Milojević, Goran	M	1960	
ParlaMint-BA-en_2004-09-30-0	ParlaMint-BA_2004-09-30-0.u3567	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 31	2004-09-30	Unicameralism	4. mandat	-	Sjednica 31	2004-09-30	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2004-09-30-0	ParlaMint-BA_2004-09-30-0.u3568	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 31	2004-09-30	Unicameralism	4. mandat	-	Sjednica 31	2004-09-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	MilojevićGoran	Milojević, Goran	M	1960	
